Token,Type,2-corn/corn_2,2-corn/corn_3,2-corn/corn_4,1-corn/corn_4,0-cube/cube_3,4-cube/cube_4,0-cube/cube_1,4-cube/cube_3,0-cube/cube_4,3-banana/banana_4,3-corn/corn_4,3-corn/corn_3,3-corn/corn_2,0-corn/corn_2,0-corn/corn_3,0-corn/corn_4,3-cube/cube_4,3-cube/cube_1,3-cube/cube_3,2-cucumber/cucumber_3,0-banana/banana_4,2-cucumber/cucumber_1,0-banana/banana_2,2-cucumber/cucumber_4,0-banana/banana_1,1-banana/banana_2,1-banana/banana_1,1-banana/banana_4,2-cube/cube_3,5-corn/corn_2,0-cucumber/cucumber_1,0-cucumber/cucumber_3,0-cucumber/cucumber_4,1-corn/corn_3,1-corn/corn_2,3-cucumber/cucumber_4,3-cucumber/cucumber_3,3-cucumber/cucumber_1,4-cucumber/cucumber_4,2-banana/banana_1,5-cucumber/cucumber_3,2-banana/banana_4,4-cucumber/cucumber_1,4-cucumber/cucumber_3,4-corn/corn_4,4-corn/corn_2,4-corn/corn_3,2-cube/cube_4,1-cube/cube_1,2-cube/cube_1,1-cube/cube_4,1-cube/cube_3,1-cucumber/cucumber_4,1-cucumber/cucumber_1,1-cucumber/cucumber_3
,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cucumb,rgb,0.8271655930546925,0.6399911807385407,0.6592227856260071,0.6776995422608882,0.9999999999999929,1.0894121116358066e-23,2.0789725515637907e-05,0.9999999999994444,1.502222697319657e-21,0.013413545843992836,0.6430949437176631,0.6271255163460097,0.8110081686688434,0.8443122419988235,0.7427816459043379,0.7004221385580347,2.898547846816074e-23,1.5807725212053187e-05,0.9999999999999669,0.9998923031490156,0.07984884947980563,0.9997208955682858,0.00019939950591858725,0.9997565161096658,0.0009316308008627987,0.00012032644657178065,0.0006855511522420222,0.06041796629928538,0.9999999999999902,0.7575150613116232,0.999870914968912,0.9999070020841028,0.9998323554237531,0.6866047311707706,0.8349982395419775,0.9997531057230078,0.9998389585590088,0.9996945693280446,0.9995276310192159,0.0004617648026420384,0.9996195785412376,0.0026711407079966936,0.9996633665853901,0.9998028023784519,0.6208458578811793,0.7739572446795342,0.6265865317685295,3.6296977624313683e-23,1.807037956379923e-05,1.791892461519062e-05,1.3695054459272445e-21,0.9999999999999927,0.9997968836572381,0.9998499181014293,0.999891133718068
cucumb,shape,0.9999998667106778,0.9971658338967203,0.9999997666082353,0.9999997522703875,0.002806234443756302,4.165537174583454e-05,0.01268530053727804,0.0011877459694132088,6.23430277056535e-05,0.04149807444355697,0.9999988727384186,0.9079252375799387,0.9999996562021193,0.9999996294416141,0.9999979251095983,0.9999998467985557,0.0001126189085255418,0.0014877047318098504,0.00019455077016489056,0.9999761394582978,0.9731489071006213,0.9999058761554048,0.9999430433116734,0.9999878315211886,0.00014618475172973615,0.9999965485271951,9.156117874955532e-05,0.9999597994421766,0.0001654427034723468,0.9998630635670934,0.9999749818411194,0.9999940887508699,0.9999683412805824,0.9984821005764682,0.9999996294416141,0.9999965090631793,0.999918080187586,0.9999625503891307,0.9998585749566116,0.00013928243169373072,0.999757699893073,0.9440225992501995,0.999774713292497,0.9999636167622685,0.9964176334701237,0.9998790860357911,0.006122076552599111,5.322108628439711e-05,0.024314766393154337,0.003809122414343985,9.100102242853272e-05,3.0284406234742978e-05,0.9999976985589794,0.9999932307656857,0.9999059448372033
cucumb,object,0.9999976691114377,0.9984606719239277,0.9999977936757047,0.9999976822653664,0.9989447648789723,2.2865362020536327e-06,0.38416925123396356,0.9998981285297228,1.0600901812104913e-05,0.3509832408168078,0.9999851090800582,0.9927497587839584,0.9999938676622885,0.9999964405344162,0.9999892163256786,0.9999962475063747,1.590085788140313e-05,0.2216032469110229,0.9997968344352893,0.9999923863335117,0.9896089291857912,0.9999435499082577,0.9935640247670983,0.9999972775745667,0.0001375174772609612,0.9996865794764811,0.00013660390061897667,0.9991378151103874,0.9996395333581914,0.9997325918602574,0.9999644607685856,0.9999967773162586,0.9999538673488512,0.9994276385446899,0.9999963934399179,0.9999871907820544,0.9999179898444174,0.9999883653664156,0.9999212329781706,0.00018158688433441984,0.9997843872979377,0.625282849497305,0.9999180166306708,0.9999881934097966,0.9978224044630569,0.9998738808778916,0.7105743729462997,5.228537000888344e-06,0.4077124080624031,0.5234976409750381,3.256985967797742e-05,0.9986292406535267,0.9999989429528033,0.9999904601588698,0.9999320938760156
fruit,rgb,0.07364867716395955,0.18141808731047668,0.16773234663573208,0.15505099365969335,2.39287005814919e-15,1.0,0.9999927896513741,1.9048461479921725e-13,1.0,0.9862170873237884,0.17921332668797288,0.1906933412576039,0.08255934652486731,0.0645936379922765,0.11694203723106232,0.1401254267941479,1.0,0.9999942423602064,1.163202360406451e-14,0.00019057675782988177,0.9605922378642878,0.00048166707532632945,0.9997449553720024,0.00033341135762168263,0.998656631638888,0.9998607809835829,0.9990550346132777,0.9549045295457351,3.5940784902254475e-15,0.11101845608364387,0.00026001119499576616,0.00015747053633833645,0.00024859712623772007,0.15303528903997723,0.07156925966849076,0.0003366207456464582,0.0002813054736254403,0.0004226428544947958,0.0005853443385184461,0.9993452222216391,0.0006060412786199529,0.9990146472416255,0.0004038815916607926,0.00033500115760869213,0.19054438649407812,0.10407044113095335,0.19133871642593792,1.0,0.9999936566636479,0.9999937128508446,1.0,2.5666787086732653e-15,0.0002840370047956843,0.0002724732852404791,0.0002137714333935057
fruit,shape,3.722500154507194e-05,0.3182698269280639,0.00248823164536731,0.002997580420434028,0.9888654534061533,0.4123015484446033,0.9225942488230039,0.3274518761872357,0.7182181746817262,0.8691741263710347,0.0004347161325319109,0.3674110368448291,5.081823332868455e-06,7.5591662188401115e-06,0.0007312550731181001,8.001844027649988e-06,0.07168404915968157,0.6215325411814342,0.14155716984092878,0.00019196598635554633,0.9821932623204671,9.014708478595076e-05,0.9998585020265033,0.00022791929388656058,0.9997303398638488,0.9997495123787008,0.9999129365251515,0.011397810563435463,0.49927358503584807,0.09696422711923723,4.710278269580563e-05,0.00023772227379234359,6.652482033715166e-05,0.25604780296561114,7.559166218840085e-06,5.0526787394579046e-05,0.0002871550398944881,0.00026294871539491593,0.00047050988675471597,0.9996815993508567,0.9942524239820707,0.9642618694587458,0.0002911645901695997,0.05792999094298086,0.28988549096728783,0.2428585861230666,0.16886717285554229,0.183221218529084,0.7299019554112591,0.10910812423923695,0.045324666848394014,0.9351088874813399,5.3955761545488685e-05,5.2984110683367006e-05,0.0003454458143137645
fruit,object,8.22316644214812e-05,0.11491205828559692,0.002576396044826586,0.0028375599088633534,4.8202280142033706e-05,0.9999993818460784,0.9985854055146298,5.03794522937049e-06,0.9999990778286372,0.950327152826874,0.0007112942514176464,0.1488847000704429,2.051014854723707e-05,2.640815587603887e-05,0.0008572733309746402,3.4722298615154804e-05,0.9999955152637624,0.9938828042250688,7.781721503502515e-07,9.449874529565972e-05,0.9900012905232496,7.143425767596767e-05,0.9998793407384885,0.00014833461543513373,0.9997906506745747,0.9998301530559617,0.9999330917199832,0.09623232577835375,2.1163668814550077e-06,0.03187268228969359,3.569923156133835e-05,0.0001088938845609274,3.9663328210307114e-05,0.09275998822065863,2.8317310495601916e-05,3.5075900333408594e-05,0.00013832708750359846,0.00017628538395070032,0.0003230323816651358,0.9997951642241335,0.8380792557923746,0.9946086561972878,0.00018743225143465745,0.00736872817923023,0.13323469078054573,0.07587166137856437,0.09943638530141342,0.9999979758955403,0.9959971534153056,0.9615153303103268,0.9999804851860201,1.3486761686643656e-05,3.748876000828074e-05,3.619155564632486e-05,0.0001567796396083417
green,rgb,0.9997169597803054,0.9996611658371941,0.9996620313736029,0.999662859615864,0.9999985410428638,7.772570523602295e-06,0.9993205007862263,0.9999978350001605,5.481375236136772e-05,0.9996876290754022,0.9996614567445679,0.9996599633290789,0.999716830906744,0.999717544887715,0.9996830034670857,0.9996641708025233,1.196989171442563e-05,0.9992308169160875,0.9999985545119079,0.9999957439923002,0.9999242769745235,0.9999944191107414,0.9986597068369456,0.9999926478561026,0.998978882750328,0.9986369402819026,0.9989538294528999,0.9998655644660541,0.999998858738129,0.9996995952487223,0.999996225818763,0.9999956521609681,0.9999939892022446,0.9996806467756159,0.9997326545723673,0.9999925782641688,0.9999952139894067,0.9999923354125244,0.9999900465457706,0.9987874769240374,0.9999933028562923,0.9998367712435327,0.9999904141071898,0.9999947789625915,0.9996410069726193,0.9997158498158283,0.9996608615662154,1.2522486828562417e-05,0.9992834391014142,0.9992818317123908,5.3055288213740254e-05,0.9999987865649949,0.9999931703940046,0.9999955267923041,0.9999962663625647
green,shape,0.9999999983005432,0.999999920436247,0.999999998329689,0.9999999982574517,0.5670797551057338,0.00013595783660602247,0.9993927230789346,0.13824565666015484,0.00030271891833088415,0.9999423977249742,0.9999999980014334,0.9958905474905625,0.9999999004228354,0.9999996318506504,0.9999999883153229,0.9999999703124436,0.0002584787360783105,0.9991577035340402,0.006574889478674997,0.9999973978543247,0.999848294890304,0.9999999911915732,0.9999999301892855,0.9999998588595388,0.9997693361720279,0.9999999902556475,0.9992312216570703,0.9999947616092172,0.9921737700873864,0.9999999503905936,0.9999967109783999,0.9999999295203431,0.9999976231656164,0.9999965825362898,0.9999996318506504,0.9999999979468235,0.9999999359983928,0.9999888569127102,0.9999014756663979,0.9998064364540863,0.9999999999994202,0.9999997159975924,0.9998146287867307,0.9999998671423346,0.9994301630540665,0.9999518610833822,0.9988882592915901,0.00039459155211071887,0.9997556284262687,0.9993119121294483,0.0001345097490149074,0.895365114450606,0.9999999042604594,0.999999476323929,0.9999809362946227
green,object,0.9999901511144189,0.999919901709181,0.999980382072356,0.9999815651965257,0.9999056457235554,9.310685596830603e-06,0.9680395044703936,0.9997760927553146,2.9937594605361735e-05,0.9998803439269491,0.9999797174900419,0.9996851806637232,0.9999813076290017,0.9999804043398376,0.999976092364662,0.9999835918670442,1.4167244431031249e-05,0.9709935231324228,0.9998057368242095,0.9999988854163937,0.9999078678157124,0.9999937386291592,0.9998975827097493,0.9999977859621337,0.9989824576504792,0.9998122600566092,0.9875398078742195,0.9999798591352826,0.9998803296959022,0.9999644983246795,0.999998633236834,0.999999205252951,0.9999979023895128,0.9999071740822492,0.9999810813871127,0.9999982817769821,0.9999975947422152,0.999995376859403,0.9999808887171749,0.9964787163766967,0.9999550914989688,0.9999581438133132,0.999884458047673,0.9999978186382662,0.9998372220410676,0.9999189983155505,0.9976043538895802,1.4848414036453259e-05,0.9716566290580525,0.9667935641563982,4.467126374586169e-05,0.9997595173314993,0.9999985525425582,0.9999989832758972,0.9999985535980584
look,rgb,0.991760637735068,0.9708115078742454,0.9764368322764568,0.9809959734310608,1.0,1.0,0.9918989961599931,1.0,1.0,0.004639266851707238,0.9716765940624549,0.9670025528956874,0.9886354029629022,0.9942512183095513,0.9868453878168945,0.9855054938916045,1.0,0.9896884053028859,1.0,0.009653204741051946,0.006870575957250917,0.006349515125919634,0.028645770316629505,0.01709971309200373,0.026047218881280653,0.03035826348722007,0.023444596939493974,0.002398799674744713,1.0,0.9830685608109118,0.006611020939080689,0.012076498609170944,0.014539536700028843,0.972827849936877,0.9882598420308178,0.017341741493764495,0.008090060259659974,0.01414559350108649,0.01983353393137707,0.029290384684795282,0.006957618009841361,0.2745241318544819,0.029940432898711577,0.007908223544356182,0.9777491214273922,0.9787345033745273,0.9660371194636057,1.0,0.9921419565110747,0.992270192966768,1.0,1.0,0.01716005153482387,0.007562385381187894,0.00748185590817645
