Token,Type,0-banana/banana_2,1-banana/banana_2,0-corn/corn_3,1-corn/corn_3,2-corn/corn_3,3-corn/corn_3,4-corn/corn_3,0-cube/cube_1,1-cube/cube_1,2-cube/cube_1,3-cube/cube_1,0-cucumber/cucumber_2,1-cucumber/cucumber_2,2-cucumber/cucumber_2,3-cucumber/cucumber_2
corn,rgb,0.9999975744609508,0.9999976435620151,0.9998787011132166,0.9998887652545835,0.9999030606167837,0.999904964276528,0.9999046788425877,0.999975068239004,0.9999777613165316,0.9999778352030965,0.9999814872109029,0.6174244821055865,0.6706582021339482,0.7201435058621315,0.6906719364510523
corn,shape,0.9017805777071906,0.9999995600051652,0.9999993341457253,0.9999998243442703,0.9999931670359827,0.9999851087458892,0.9993073539209661,1.1394233531388564e-06,1.029461596281761e-06,0.000375996749008358,0.00028661359751599134,0.9960796973704018,0.9999979926604456,0.9130765817351842,4.7574742998536735e-05
corn,object,0.9998696796891806,0.9999996852074778,0.9999956841975073,0.9999979613501878,0.9999876245535185,0.9999789073747399,0.9996490143428335,0.17346670182284665,0.19001988653799112,0.7614778898220009,0.7869270741647683,0.9769015229706484,0.999593197742426,0.8922362725142029,0.015122383873954651
cube,rgb,0.09929643738028537,0.20161729533957254,0.0011512422862559723,0.0012627588289376916,0.0012343484002494331,0.001254931317351985,0.0012623242244717105,0.9999539278860737,0.9999511565692817,0.999951611648181,0.9999324128876855,0.5256863645784652,0.5843741207449838,0.47978601384742287,0.6821804687610491
cube,shape,0.03378224955857569,5.367462309883981e-07,1.4589611780688616e-06,6.3121506231297515e-06,3.563282868695128e-05,0.0009056283628417746,0.842024593472994,0.9999926384976617,0.9999975845418039,0.9998016589912911,0.9998605985415315,0.031795960884456326,6.337736505476075e-06,0.2674122028054214,0.9999219388505646
cube,object,0.0051217267260841,4.085006891941457e-07,1.549712256103196e-06,6.7657186556675084e-06,3.249400840048387e-05,0.0006276817565962021,0.5953799901401066,0.9999899987458595,0.9999962276758058,0.9998405695404816,0.9998770093664711,0.01550708816827599,1.1775776647376247e-05,0.15826768005895755,0.9996395834759139
cucumber,rgb,0.21618754205484444,0.47144787191693366,8.95538410265576e-05,0.0001378545574723314,0.0001270169495230987,0.00013647876318384738,0.00013985996029533256,0.9999992738599491,0.9999991399114309,0.9999991433218609,0.9999986381123127,0.9999497196176216,0.9999673917643547,0.9999233266241139,0.9999848251113223
cucumber,shape,0.9999999995005713,0.48442588220708,8.525257028858573e-05,0.0009568880002189585,8.350967642747236e-05,0.0014796558493539792,0.08487131566559203,0.9968014397698556,0.9991491297457572,0.9342035974286897,0.9421433246373773,0.9998912480033645,0.9995944895882224,0.99979046720877,0.9997658246988091
cucumber,object,0.9998887801739569,0.885484203030526,3.4633997320545313e-05,7.883093229109601e-05,3.2033384158970825e-05,9.996380022145296e-05,0.0007337681768778892,0.9999972538664934,0.9999985196560072,0.9999882249716815,0.9999819910475763,0.9999573634149824,0.9999108340579109,0.9999195326039553,0.9999482647168294
ear,rgb,0.9999975744609508,0.9999976435620151,0.9998787011132166,0.9998887652545835,0.9999030606167837,0.999904964276528,0.9999046788425877,0.999975068239004,0.9999777613165316,0.9999778352030965,0.9999814872109029,0.6174244821055865,0.6706582021339482,0.7201435058621315,0.6906719364510523
