,Accuracy,F1-Score,Num Negative Examples,Num Positive Examples,Precision,Recall
rectangular,0.9083212560386473,0.7914423740510697,3.782608695652174,2.3043478260869565,0.859963768115942,0.7541062801932367
red,0.7056159420289855,0.7136818495514148,2.6956521739130435,6.608695652173913,0.5768719806763284,1.0
ripe,0.5979138321995464,0.6624700356333009,2.877551020408163,1.5714285714285714,0.5742970521541949,0.9191609977324263
semi,0.9051851851851851,0.9100088183421516,3.0,1.0,0.95,0.9083333333333334
semicircle,0.8959299516908213,0.8904934437543133,3.2028985507246377,1.608695652173913,0.8727657004830918,0.9522946859903383
semicylinder,0.8357125603864733,0.7924189095928227,3.0,1.0,0.8565821256038648,0.7774154589371981
shape,0.7740972222222222,0.7835565476190476,2.625,5.5,0.7533449074074073,0.914351851851852
shaped,0.8028004535147393,0.8130369290573373,2.877551020408163,4.183673469387755,0.7936394557823129,0.9247165532879819
side,0.8045691609977325,0.8588921282798834,0.9387755102040817,5.8979591836734695,0.8045691609977325,1.0
square,0.9263945578231293,0.9334402332361518,2.877551020408163,1.0,0.9916666666666667,0.9032879818594106
tomato,0.7737318840579711,0.8209075224292616,3.1594202898550723,1.391304347826087,0.8262318840579711,0.9140096618357488
toy,0.9194565217391304,0.8882539682539683,3.0,3.9130434782608696,0.9091183574879227,0.8911835748792271
triangle,0.6221497584541062,0.6229865424430641,3.0,1.0,0.6132608695652173,0.7115942028985507
triangular,0.6165579710144927,0.626383712905452,3.0,1.0,0.6224637681159421,0.7121980676328502
vegetable,0.9315608465608466,0.9366969009826154,2.388888888888889,1.6666666666666667,0.9388888888888889,0.9593915343915344
wedge,0.7192512077294686,0.7137663906142168,3.181159420289855,1.608695652173913,0.6995410628019323,0.7964975845410628
white,0.9033106575963719,0.9146987366375122,2.877551020408163,1.0,0.9673015873015872,0.8984126984126984
yellow,0.854421768707483,0.8466618075801748,3.204081632653061,4.959183673469388,0.7681972789115646,0.9984126984126985
