Token,Type,2-corn/corn_3,2-corn/corn_1,2-corn/corn_4,0-cube/cube_2,4-cube/cube_4,0-cube/cube_1,4-cube/cube_2,0-cube/cube_4,3-banana/banana_4,3-corn/corn_4,3-corn/corn_3,3-corn/corn_1,1-corn/corn_1,0-corn/corn_1,0-corn/corn_3,0-corn/corn_4,3-cube/cube_4,3-cube/cube_1,3-cube/cube_2,2-cucumber/cucumber_2,2-cucumber/cucumber_3,0-banana/banana_4,0-banana/banana_3,2-cucumber/cucumber_4,0-banana/banana_1,1-banana/banana_3,1-banana/banana_1,1-banana/banana_4,1-corn/corn_4,0-cucumber/cucumber_2,0-cucumber/cucumber_3,0-cucumber/cucumber_4,1-corn/corn_3,3-cucumber/cucumber_4,3-cucumber/cucumber_3,3-cucumber/cucumber_2,4-cucumber/cucumber_4,2-banana/banana_1,5-cucumber/cucumber_3,2-banana/banana_4,4-cucumber/cucumber_3,4-corn/corn_4,4-corn/corn_3,2-cube/cube_4,1-cube/cube_2,1-cube/cube_1,2-cube/cube_1,2-cube/cube_2,1-cube/cube_4,1-cucumber/cucumber_4,1-cucumber/cucumber_3,1-cucumber/cucumber_2
,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
corn,rgb,0.9999287145399309,0.9991175127343855,0.9999429296067749,1.0622559634062908e-06,0.9999993116496952,1.6444461853847265e-12,2.8933646812359585e-05,0.9999997444188957,0.0005312217846050638,0.9999309155210551,0.9999189149774312,0.998901998867568,0.9988357446038408,0.9990033387189731,0.9999675519663991,0.999965042127944,0.99999920364315,2.8891002222856666e-12,2.093632149043855e-06,0.0010371861984230478,0.00017869463431735856,1.2944736168406331e-08,0.0010307556091686716,0.0054956010966785455,0.02012766418087492,9.858532740351814e-06,0.008524087994652995,7.9024625484533e-06,0.9999541701610933,0.0010075596438322574,0.0003847089849817558,0.002039962615985326,0.9999325898574382,0.005822724543036145,0.00016949859612090933,0.00011227874508619504,0.016795552336232797,0.010480912726190355,0.0004064452647819697,4.93588911366326e-11,0.00022878227303815425,0.999947193307968,0.9999163176915395,0.9999995035589972,3.0599659846014563e-06,1.820862743136104e-12,1.800642623239643e-12,2.410343233274153e-06,0.9999997316612058,0.004458003035408241,3.6247823848135965e-05,0.0003939955262482101
corn,shape,0.999989160040277,0.9999121912623415,0.9999641605592009,0.08484761003392816,0.9539271626327893,0.05997757251278947,0.836170216691231,0.35852708241844383,0.9999858083148282,0.999882689525112,0.9999209861148315,0.9996685874395129,0.9999577939871139,0.99951374245657,0.9999788802144989,0.9997572835916071,0.8506225334368442,0.44146043447095334,0.9014650945539517,0.4803386675379332,0.000570564991524957,0.9764619129505314,0.00019502531327609773,0.03182565913439036,4.426878420754561e-10,1.5575266109066858e-08,0.005230790900206425,3.5725865076361423e-05,0.9999849253418122,0.3632983029756163,0.00044577689852285665,0.003496494620553292,0.9996853199602999,0.8096263956812682,0.0002389756381409515,0.9194994974279386,0.6372478965138165,0.695439725230928,0.00018478027234927654,1.228275556611355e-06,0.0005375022216789877,0.999964178375465,0.9999100588782877,0.974819718898147,0.4665951271790994,0.07559807609378794,0.7665176850795182,0.8719614202929344,0.941596173729497,0.9766377125539255,0.0001448085364244678,0.3880030514575176
corn,object,0.9999865138471793,0.9998996440034987,0.9999462906538548,4.962532008446994e-05,0.9999999773176248,4.953480757701196e-06,0.003626407135218112,0.9999997735961434,0.9722070914741187,0.99995645988173,0.9999551864673971,0.9998049306186549,0.9999373505817322,0.9996748704987193,0.9999857381830289,0.9998680538097885,0.9999999464584506,3.300143372842949e-05,0.0014003899937209937,0.01232121065674045,0.00025256512760640434,0.0004789222174118523,0.0001249670968251109,0.003164950482308992,3.3562453345093095e-05,3.4668105422044737e-06,0.025379621926375287,3.255376694678606e-05,0.9999724807526048,0.013350205531389697,0.00020772834284382225,0.001619900841536054,0.9998547954545707,0.10014884713304013,0.00012897636034544147,0.025584433496851782,0.04766535374859115,0.5969481217245509,0.00013668411094290523,8.28325667361274e-08,0.0002599107177210813,0.9999556490804008,0.9999711926929575,0.9999999838938665,0.0003210935166237949,6.499815256145324e-06,5.086048964872782e-05,0.001106122525902697,0.9999999593936776,0.18233619603626391,5.4297305848293156e-05,0.0022000349666709516
cube,rgb,1.6028580093474318e-07,1.7394784332686446e-07,1.5914680596847304e-07,0.9996826028875203,0.9999989804245383,0.9987130044513861,0.9619511460756859,0.9960061437821054,3.42055929372052e-05,1.6019467367456906e-07,1.607165740972857e-07,1.7960842077949387e-07,1.9091212487570584e-07,1.8702664798255643e-07,1.6802755018775937e-07,1.5771730464853117e-07,0.9999942930316894,0.9976756886444177,0.9923659848570513,0.0015209796133292403,0.004957146548231719,0.08748487886859359,1.7352889869607457e-05,0.0005286421779692026,3.45299190905536e-06,0.00038439417627080994,5.379986396120897e-06,0.0006436194807756156,1.5827791923821847e-07,0.002169778911966912,0.0034824644459975638,0.0010542653482361558,1.7051930717814069e-07,0.0005101642005804836,0.004160311538906007,0.004438874265818591,0.00022111905070566312,4.722662144908305e-06,0.001660705656463295,0.9311012478707318,0.0031678432785245433,1.4861917913953804e-07,1.614417750946203e-07,0.9999907901875403,0.9988877421726764,0.998588519978328,0.9986083300539899,0.9985972353684797,0.9965414219908425,0.0006431734420915313,0.012566511705631863,0.002703348308901966
cube,shape,0.016757179753668507,0.024229930180309323,5.690357380723298e-06,0.9999399318605283,0.9999888014638516,0.9998929762394242,0.999711158709862,0.999998223638433,0.9953986351324374,1.4346889233574258e-05,0.26686985151890097,0.9999314462805802,0.012528769695003494,3.862112057016678e-05,2.082578626645879e-05,1.6361264275466936e-06,0.9999894212652966,0.9999103242965207,0.9999772761020757,0.08005344568282395,6.753191235298486e-06,0.07995574291106784,4.950208378266642e-05,2.2079630770318152e-05,0.053231608484407264,2.8945160963635604e-05,0.9679487103559751,2.047043095729624e-06,8.936265368671457e-06,0.0010926009528216803,4.3884211223130434e-06,2.1049527874662e-05,0.005476071941652774,7.489224756967842e-05,0.00012350140619942743,0.9970693280864626,0.008196581654693452,0.9565773904200726,0.00022049277829815347,0.0008320433788730348,3.8447917111485665e-05,0.013388015448284307,0.9997641092698217,0.9999976544893338,0.9999929059919301,0.9999059538538023,0.999954692498776,0.9999777336432812,0.9999919291036228,6.9162177164105936e-06,1.4059298126344709e-05,2.378267977963537e-05
cube,object,0.009781741043018011,0.013342748138207669,4.323948342453664e-06,0.9999324138546744,0.9999897267474368,0.9998979019817658,0.9997178186075878,0.9999976514199216,0.9707601181797484,1.0667610090885898e-05,0.16799929095630994,0.9997682565127218,0.007581500986299265,3.231098049563896e-05,1.5199277110343874e-05,1.357029040313118e-06,0.9999908991085061,0.9999118459746305,0.9999709419164273,0.06464664527649891,7.593944233335422e-06,0.04306912804688498,3.7752691970196665e-05,2.2594673003685598e-05,0.025772307572791597,2.0977764004347352e-05,0.8969252316870914,2.268765652932183e-06,6.147137588746417e-06,0.0007878828217679292,4.6882902418151525e-06,1.7183936259047522e-05,0.0034564141759074298,6.134340591209393e-05,0.00011882196517399518,0.9927997754128236,0.006406682191773766,0.8235976480227478,0.00021019074759903223,0.0006303389187351018,4.2929822980309845e-05,0.006622278372295619,0.9991800931253685,0.9999973966053273,0.9999908288317675,0.9999061570917114,0.9999561573995566,0.9999721699094741,0.999991052874174,7.07149701220166e-06,1.4110966885346383e-05,2.638546967825257e-05
cucumber,rgb,0.0004329928254507817,0.000434980433721066,0.00041896971120852674,0.9999999999980962,2.122214107954938e-28,0.5269159697832333,0.9999999997621429,1.820790587766608e-26,0.02573688724783732,0.00043166544704842554,0.00043849092508580373,0.0004569018502631197,0.0005547767128133522,0.0005398779805269277,0.0004637014414298528,0.0003908908981169152,6.15937184538782e-28,0.38738023753855444,0.9999999999420313,0.9998727917234798,0.9999665253305847,0.9772143661262399,0.00026147743643757166,0.9995464290841533,0.00026997893270782003,0.0007398892531758385,0.000313607163844038,0.5284389617969734,0.0004055970102542897,0.9999344344546401,0.9999567823340081,0.9998140023257208,0.0005175717746652077,0.9995259034650436,0.9999514301332421,0.9999447056050269,0.9984186609503146,0.0001895800858562942,0.9998196106032011,0.9604478490623546,0.9999305062612326,0.00034075354870887473,0.00044480152197424127,6.02939028124579e-28,0.99999999999387,0.4787314422282609,0.4780800020839593,0.9999999999918086,1.7017203816374564e-26,0.999660674936468,0.9999853101896191,0.9999306135463156
cucumber,shape,0.30230896895771187,0.7176188889764217,0.00014010910149344074,0.9999974624505806,0.9999998605677526,0.9999990668182595,0.9999991151688234,0.9999998806634334,0.4068289190658315,0.0004831700704099197,0.6842344783386525,0.9999991166461544,0.6283893586610427,0.9730294115944852,0.009133974084089305,0.001188433291029706,0.9999999977155352,0.9999999636520644,0.99999999554096,0.9998344693637433,0.9997962410834629,0.166065183036287,0.0003134200933592251,0.9996652551377478,0.9999926312849492,0.00041782935417740836,0.9999984248499727,0.887360716875307,0.0002256739883021594,0.999929880791527,0.9994236598653349,0.9999953576596792,0.5154989227758994,0.9997113400805431,0.9999951104923378,0.99980523887125,0.999702647264084,0.9974796618296888,0.9997815801517315,0.9417169253071828,0.9991337948186234,0.000332815553169572,0.9999977675099798,0.9999999195352183,0.999999995984818,0.9999997812044398,0.9999999983367622,0.9999999975651443,0.9999999929578514,0.9989111004351691,0.9999422307920139,0.9994714616425903
cucumber,object,0.003950605346649639,0.0105958372280351,8.456495933521012e-05,0.9999999987342465,8.38515080800773e-11,0.99997565186131,0.9999999899599056,4.036799750502766e-10,0.2228181264441477,0.00021386841224734233,0.007127310511872106,0.9119347160585812,0.01398746687700948,0.054557792656048744,0.0005521161635627818,0.0004795768436840565,7.860687563494575e-10,0.999993866311021,0.9999999998176006,0.9999367811436589,0.9998930535623624,0.9548132854092951,0.00018492499529979326,0.9997893049493174,0.8320649707558057,0.00023237889860093953,0.9671430538411843,0.8588201281802961,9.773604619218385e-05,0.9999801917230852,0.9998008356787388,0.9999848396984016,0.0039900943632518076,0.9998490060075748,0.9999941092607999,0.9999479870233619,0.9997765093327161,0.408800034959302,0.9999029691411221,0.9892338716566973,0.9996205835848532,0.00014206293846592992,0.857183779170137,1.653494989012757e-10,0.999999999904641,0.9999887087953959,0.999999217175559,0.9999999999416931,2.1449918969826133e-09,0.9994966826352067,0.9999779858058817,0.9997680962847189
ear,rgb,0.9999287145399309,0.9991175127343855,0.9999429296067749,1.0622559634062908e-06,0.9999993116496952,1.6444461853847265e-12,2.8933646812359585e-05,0.9999997444188957,0.0005312217846050638,0.9999309155210551,0.9999189149774312,0.998901998867568,0.9988357446038408,0.9990033387189731,0.9999675519663991,0.999965042127944,0.99999920364315,2.8891002222856666e-12,2.093632149043855e-06,0.0010371861984230478,0.00017869463431735856,1.2944736168406331e-08,0.0010307556091686716,0.0054956010966785455,0.02012766418087492,9.858532740351814e-06,0.008524087994652995,7.9024625484533e-06,0.9999541701610933,0.0010075596438322574,0.0003847089849817558,0.002039962615985326,0.9999325898574382,0.005822724543036145,0.00016949859612090933,0.00011227874508619504,0.016795552336232797,0.010480912726190355,0.0004064452647819697,4.93588911366326e-11,0.00022878227303815425,0.999947193307968,0.9999163176915395,0.9999995035589972,3.0599659846014563e-06,1.820862743136104e-12,1.800642623239643e-12,2.410343233274153e-06,0.9999997316612058,0.004458003035408241,3.6247823848135965e-05,0.0003939955262482101
