Token,Type,2-corn/corn_2,2-corn/corn_3,2-corn/corn_1,0-cube/cube_2,0-cube/cube_3,0-cube/cube_1,4-cube/cube_2,4-cube/cube_3,3-corn/corn_3,3-corn/corn_2,3-corn/corn_1,1-corn/corn_1,0-corn/corn_1,0-corn/corn_2,0-corn/corn_3,3-cube/cube_1,3-cube/cube_3,3-cube/cube_2,2-cucumber/cucumber_2,2-cucumber/cucumber_1,0-banana/banana_2,0-banana/banana_3,2-cucumber/cucumber_4,0-banana/banana_1,1-banana/banana_3,1-banana/banana_2,1-banana/banana_1,0-cucumber/cucumber_1,0-cucumber/cucumber_2,5-corn/corn_2,0-cucumber/cucumber_4,1-corn/corn_3,1-corn/corn_2,3-cucumber/cucumber_4,3-cucumber/cucumber_2,3-cucumber/cucumber_1,4-cucumber/cucumber_4,2-banana/banana_1,4-cucumber/cucumber_1,4-corn/corn_2,4-corn/corn_3,1-cube/cube_3,1-cube/cube_2,1-cube/cube_1,2-cube/cube_1,2-cube/cube_2,2-cube/cube_3,1-cucumber/cucumber_4,1-cucumber/cucumber_1,1-cucumber/cucumber_2
cucumb,rgb,0.9999999964293897,0.9999999987098214,0.999999999619898,2.1391750026075585e-05,3.808597380851722e-08,0.9999999999980547,0.0018789736567450524,9.705180947829174e-06,0.9999999987708168,0.9999999967347419,0.9999999996374174,0.9999999995563242,0.9999999995369429,0.9999999960346302,0.9999999979338035,0.999999999998749,2.659238939099612e-07,0.0011191036423665365,0.9997386972317225,0.9998066684630338,0.9999999999996132,0.9999999999996207,0.9998780225309732,0.9999999999985694,0.9999999999998193,0.9999999999997005,0.9999999999988356,0.999317894019775,0.9994247764455939,0.9999999976493135,0.9997741722041077,0.9999999983596441,0.9999999959979111,0.9998812036978789,0.9997420790821617,0.9999022531113944,0.9999543698379377,0.9999999999992883,0.9999390128626989,0.999999997290397,0.9999999987689838,3.7421007089972634e-08,5.628678076453746e-05,0.9999999999983793,0.9999999999983906,9.070640175755564e-05,5.463202324098477e-08,0.9998428910487444,0.9995638326577274,0.9996518887752928
cucumb,shape,0.9999991592156524,0.990043824336952,0.9604111628969675,0.00013060145217808346,0.00017011229505207334,0.003625377311203674,0.00022982303377943616,2.6189579456510464e-05,0.8509682689616102,0.9999988699757545,5.1639971947423734e-05,0.9951169048932074,0.9999875858589687,0.9999988082530232,0.9999904485283198,0.00014274480818160615,3.5499079365797985e-05,2.5007506818081592e-05,0.9997789179500489,0.9998915810072021,0.9999903921844371,0.999895867078075,0.9999802156669353,0.9940817792740165,0.9999704605481442,0.9999871638503848,0.019142421892502228,0.9999867993020385,0.999996213272243,0.9990411838924523,0.999987803960048,0.9951930042789975,0.9999988082530232,0.9999971760940165,0.9996476385984402,0.999975858114082,0.9998930739445516,0.013937250093301497,0.9997741347570424,0.9993364890417437,0.00021640106565038545,7.081365743537221e-06,6.423731882256446e-05,0.008247957186155152,0.00015185125560310568,1.5837324396293906e-05,6.190479823380793e-06,0.9999935986965678,0.9999933171509756,0.999984282324789
cucumb,object,0.9999998047183644,0.9995981535474914,0.9992037206784639,0.00013166465934143782,9.136236532304583e-05,0.7440572087716257,0.0002244009514569876,6.165641990105644e-06,0.9960561009195534,0.9999997209990975,0.04875475511086813,0.9997856456483958,0.999997945005322,0.9999997072695819,0.9999983208080918,0.2550247324252007,2.9072946393540325e-06,6.168674779994719e-05,0.9998277136732086,0.9998886230610413,0.9999999150349036,0.9999993332976356,0.9999838978934993,0.9999477732107505,0.9999997617514281,0.9999998774116455,0.9724676754431253,0.9999886185477173,0.9999929973765637,0.9999540388370113,0.9999903747479193,0.9997783400363099,0.9999997138895899,0.9999961694459751,0.9997510217906133,0.9999842551458422,0.9999403613722706,0.9814561994529204,0.999815687354881,0.9999716936420311,0.07806750322618018,4.807370479767289e-07,6.200602368470253e-05,0.8717932363879509,0.1907991250480445,3.0890330141995045e-05,7.53864709486426e-07,0.9999933224925166,0.9999942905850395,0.9999858652028031
fruit,rgb,0.07364867716395955,0.18141808731047668,0.48098293014567456,3.6013321223069384e-10,2.39287005814919e-15,0.9999927896513741,5.775723717189006e-09,1.9048461479921725e-13,0.1906933412576039,0.08255934652486731,0.5002799041096643,0.4618417015602078,0.4463682799786329,0.0645936379922765,0.11694203723106232,0.9999942423602064,1.163202360406451e-14,6.610902657126073e-09,0.00025350362643969035,0.00048166707532632945,0.9997449553720024,0.9997633317268232,0.00033341135762168263,0.998656631638888,0.9999544830963735,0.9998607809835829,0.9990550346132777,0.00026001119499576616,0.00013593348995886092,0.11101845608364387,0.00024859712623772007,0.15303528903997723,0.07156925966849076,0.0003366207456464582,0.00040320713380900206,0.0004226428544947958,0.0005853443385184461,0.9993452222216391,0.0004038815916607926,0.10407044113095335,0.19133871642593792,2.5666787086732653e-15,6.089263679408459e-10,0.9999936566636479,0.9999937128508446,9.229348453562814e-10,3.5940784902254475e-15,0.0002840370047956843,0.0002724732852404791,0.00024533112377365517
fruit,shape,3.722500154507194e-05,0.3182698269280639,0.4128393433530122,0.9612152798467026,0.9888654534061533,0.9225942488230039,0.22502194906615713,0.3274518761872357,0.3674110368448291,5.081823332868455e-06,0.661637414213695,0.13713180286229176,5.076171247517285e-05,7.5591662188401115e-06,0.0007312550731181001,0.6215325411814342,0.14155716984092878,0.18640655354668914,0.5620382332130803,9.014708478595076e-05,0.9998585020265033,0.9996838957346731,0.00022791929388656058,0.9997303398638488,0.9997494762933834,0.9997495123787008,0.9999129365251515,4.710278269580563e-05,6.47395981222289e-05,0.09696422711923723,6.652482033715166e-05,0.25604780296561114,7.559166218840085e-06,5.0526787394579046e-05,0.006993197964883094,0.00026294871539491593,0.00047050988675471597,0.9996815993508567,0.0002911645901695997,0.2428585861230666,0.16886717285554229,0.9351088874813399,0.21776135898841284,0.7299019554112591,0.10910812423923695,0.15702452716413035,0.49927358503584807,5.3955761545488685e-05,5.2984110683367006e-05,0.013597315623115112
fruit,object,8.22316644214812e-05,0.11491205828559692,0.23414292639701867,0.013523139453962293,4.8202280142033706e-05,0.9985854055146298,0.0008499075955447351,5.03794522937049e-06,0.1488847000704429,2.051014854723707e-05,0.518427095091444,0.09097489076745538,0.0002535917810490172,2.640815587603887e-05,0.0008572733309746402,0.9938828042250688,7.781721503502515e-07,0.0011072549349118842,0.09182499104155276,7.143425767596767e-05,0.9998793407384885,0.9997754657177914,0.00014833461543513373,0.9997906506745747,0.9998814534109589,0.9998301530559617,0.9999330917199832,3.569923156133835e-05,3.7423714270663216e-05,0.03187268228969359,3.9663328210307114e-05,0.09275998822065863,2.8317310495601916e-05,3.5075900333408594e-05,0.0024048367094641637,0.00017628538395070032,0.0003230323816651358,0.9997951642241335,0.00018743225143465745,0.07587166137856437,0.09943638530141342,1.3486761686643656e-05,0.000560100677058914,0.9959971534153056,0.9615153303103268,0.00048208597823140044,2.1163668814550077e-06,3.748876000828074e-05,3.619155564632486e-05,0.002471567441269194
green,rgb,0.9999323329763565,0.9996185576747194,0.9973054894032708,1.0,1.0,0.01598520568001452,1.0,1.0,0.9995900258127749,0.9999237446256801,0.9971357597374219,0.9980575312146025,0.9981722000978391,0.9999413536249566,0.999822718579725,0.007186073846825068,1.0,1.0,0.9999999999999907,0.9999999999999853,0.0018754753696896055,0.001816521247295248,0.999999999999958,0.021355151146036356,0.0004345827352811448,0.0011747465469812977,0.014950312210957608,0.9999999999999987,0.9999999999999978,0.9998664879346157,0.9999999999999873,0.9997550967625566,0.9999483872381053,0.9999999999999558,0.9999999999999916,0.999999999999938,0.9999999999997202,0.005741023745214624,0.999999999999827,0.9999015576762434,0.9995930561620453,1.0,1.0,0.01130609918962672,0.01113649244002265,1.0,1.0,0.999999999999974,0.9999999999999969,0.9999999999999949
green,shape,0.9999893634522846,0.9999979859056669,0.9999980137642007,0.9999866838970898,0.9999771961355722,0.9999869844176936,0.9999989025656684,0.9999980204228364,0.9999581133227521,0.9999997062255747,0.9999925128757078,0.9999987258348441,0.9999992366716557,0.9999988565362562,0.9999995365363584,0.9999976928751944,0.9999991007157032,0.9999992921318511,0.9999436386393191,0.9999862467903213,0.0014296671024493046,5.3311299295239205e-05,0.9999021948325202,0.997085834596456,6.390452192807167e-05,0.07325647903227192,0.9995013166320049,0.9999956524425935,0.9999968083726243,0.9999993193096636,0.9999919142632057,0.9999682638011163,0.9999988565362562,0.9999982394545657,0.9999892843254029,0.9998960471622671,0.9997960939370193,0.9999901444505154,0.9998862531536509,0.9981575140213341,0.9999997602512292,0.9999947100681584,0.9999973531868794,0.9999961415969808,0.9999991048683131,0.9999995535580272,0.9999984236920644,0.9999964970639383,0.9999977559486022,0.9997277842236634
green,object,0.999935032524728,0.9999827536375735,0.999984455355981,0.9999994583493866,0.9999988407512583,0.9993993165407309,0.9999999100673579,0.9999996263265394,0.999742969233221,0.9999973514898257,0.9997415281580578,0.9999862863180876,0.9999895845217245,0.9999920494583909,0.9999947936095847,0.9998591924512008,0.9999999017674309,0.9999998927374869,0.9999627825238214,0.9999917904021707,0.0009012973842210863,4.597414212778326e-05,0.9999291364448463,0.9872213343269226,5.873807286571038e-05,0.016996206630188793,0.9917313768075674,0.9999988408892342,0.9999983289139921,0.9999952425062428,0.9999970659171606,0.9998227992948115,0.9999922067818501,0.9999986657521177,0.9999860035235254,0.9999120876435186,0.9998300710949533,0.9997026463358198,0.9998529898078571,0.9941600214479778,0.9999931091426788,0.9999996736226017,0.9999997902240689,0.9997812948109746,0.9999186706091955,0.9999999538140648,0.9999998559149906,0.999997079766271,0.999999145791536,0.9998164390109269
like,rgb,0.9945383269575383,0.9745777720845805,0.806546198146429,0.9999999999999996,1.0,0.987553433744244,0.9999999999996971,1.0,0.9717621551373621,0.9929930610985886,0.7855562064414019,0.8092889253281367,0.8242171388153329,0.9958875789068893,0.9888019421806229,0.9771113846724677,1.0,0.9999999999998388,0.9999833494848112,0.9999748770499912,0.0036150792101278485,0.0036713391536729568,0.9999680564754823,0.006856733701218085,0.005936493547498687,0.003944505956247577,0.006083043779820698,0.9999935917709849,0.9999929409177957,0.9885205147994142,0.9999816327439112,0.9799842011769323,0.9940115465886447,0.9999673754712313,0.9999814427798509,0.9999580147857373,0.9999220227486633,0.004552088341348895,0.9999491264270033,0.988512658780038,0.9713652295516363,1.0,0.9999999999999978,0.9855928383290358,0.9856919520684356,0.9999999999999956,1.0,0.9999750439333895,0.9999894038342667,0.9999870091538573
