confFiles/spoken_4_lemmed_stop.conf,,,,,,
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
banana,0.198333333,0.335,0.8,0.455238095,1,1
Folder Number:  6000,,,,,,
Accuracy:  0.4946296296296297,,,,,,
F1-Score:  0.6706613756613757,,,,,,
Precision:  0.6055555555555556,,,,,,
Recall:  0.8759259259259259,,,,,,
confFiles/spoken_4_lemmed_stop.conf,,,,,,
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.966666667,1,0.966666667,0.98,1,1
look,0.7,1,0.883333333,0.916666667,1,0
salad,0.39,0.39,1,0.547142857,1,1
corn,0.44,0.49,0.933333333,0.629285714,1,1
yellow,1,1,1,1,3,0
fruit,0.19,0.376666667,0.816666667,0.476666667,1,1
green,0.35,0.35,1,0.501904762,1,1
cucumber,0.403333333,0.428333333,0.966666667,0.577142857,1,1
banana,0.283333333,0.433333333,0.816666667,0.534285714,1,1
Folder Number:  6000,,,,,,
Accuracy:  0.5248148148148147,,,,,,
F1-Score:  0.6847883597883598,,,,,,
Precision:  0.6075925925925927,,,,,,
Recall:  0.9314814814814815,,,,,,
confFiles/spoken_4_lemmed_stop.conf,,,,,,
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.858333333,1,0.816666667,0.886666667,1,1
look,0.95,1,0.966666667,0.98,1,0
salad,0.356666667,0.506666667,0.816666667,0.603809524,1,1
corn,0.45,0.525,0.916666667,0.647380952,1,1
yellow,1,1,1,1,3,0
fruit,0.215,0.398333333,0.8,0.511428571,1,1
green,0.4,0.4,1,0.550952381,1,1
cucumber,0.406666667,0.451666667,0.933333333,0.597142857,1,1
banana,0.228333333,0.39,0.75,0.500952381,1,1
Folder Number:  6000,,,,,,
Accuracy:  0.5405555555555556,,,,,,
F1-Score:  0.6975925925925925,,,,,,
Precision:  0.6301851851851851,,,,,,
Recall:  0.8888888888888888,,,,,,
confFiles/spoken_4_lemmed_stop.conf,,,,,,
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.826666667,1,0.833333333,0.89,1,1
look,0.95,1,0.966666667,0.98,1,0
salad,0.42,0.545,0.85,0.653571429,1,1
corn,0.403333333,0.495,0.9,0.608333333,1,1
yellow,1,1,1,1,3,0
fruit,0.181666667,0.365,0.766666667,0.459047619,1,1
green,0.403333333,0.436666667,0.966666667,0.573333333,1,1
cucumber,0.395,0.453333333,0.933333333,0.583809524,1,1
banana,0.008333333,0.375,0.566666667,0.430952381,1,1
Folder Number:  6000,,,,,,
Accuracy:  0.5098148148148148,,,,,,
F1-Score:  0.6865608465608467,,,,,,
Precision:  0.63,,,,,,
Recall:  0.8648148148148148,,,,,,
confFiles/spoken_4_lemmed_stop.conf,,,,,,
