Token,Type,2-corn/corn_2,2-corn/corn_1,2-corn/corn_4,1-corn/corn_4,0-cube/cube_2,0-cube/cube_3,4-cube/cube_4,4-cube/cube_2,4-cube/cube_3,0-cube/cube_4,3-banana/banana_4,3-corn/corn_4,3-corn/corn_2,3-corn/corn_1,1-corn/corn_1,0-corn/corn_1,0-corn/corn_2,2-cube/cube_3,0-corn/corn_4,3-cube/cube_4,3-cube/cube_3,3-cube/cube_2,2-cucumber/cucumber_3,0-banana/banana_4,2-cucumber/cucumber_1,0-banana/banana_3,2-cucumber/cucumber_4,0-banana/banana_1,1-banana/banana_3,1-banana/banana_1,1-banana/banana_4,5-corn/corn_2,0-cucumber/cucumber_1,0-cucumber/cucumber_3,0-cucumber/cucumber_4,1-corn/corn_2,3-cucumber/cucumber_4,3-cucumber/cucumber_3,3-cucumber/cucumber_1,4-cucumber/cucumber_4,2-banana/banana_1,5-cucumber/cucumber_3,2-banana/banana_4,4-cucumber/cucumber_1,4-cucumber/cucumber_3,4-corn/corn_4,4-corn/corn_2,2-cube/cube_4,1-cube/cube_2,2-cube/cube_2,1-cube/cube_4,1-cube/cube_3,1-cucumber/cucumber_4,1-cucumber/cucumber_1,1-cucumber/cucumber_3
,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cucumber,rgb,8.297481192743424e-06,2.619933663174579e-05,8.66577249443414e-06,7.721031603823556e-06,0.9999999999980467,6.267824382971953e-05,9.89651064206373e-30,0.9999999996323161,0.0001443391704726889,8.060072103498722e-28,0.17312221141063294,9.594650966130069e-06,9.8349399229334e-06,2.9774515416236255e-05,3.613235264614683e-05,3.3215420105666413e-05,6.920991995112722e-06,0.00033184776542695405,6.712526216608498e-06,3.222104716880078e-29,0.00019245118402872737,0.9999999999578344,0.9999839903209978,0.9998159550061706,0.9999695649673132,0.0026104576241071007,0.999464318642371,0.0009587501617278831,0.03073273893564985,0.0014861187097541912,0.9617396328116855,1.0226563673489507e-05,0.9999965851437349,0.9999735609663895,0.9998281371854288,1.1930263521337717e-05,0.9994313201480717,0.999978380869908,0.999493958447931,0.9976078404956404,0.000878228888543008,0.9999078312162335,0.999946155293834,0.9967673466033241,0.999967162965319,7.012377212493484e-06,1.3745868958668814e-05,2.7401866576474765e-29,0.9999999999923714,0.9999999999911604,7.626667647898635e-28,0.00018634910378790933,0.9996140956430228,0.9999869566745638,0.9999955930652806
cucumber,shape,0.9999998192347526,0.9659461256648524,0.999999611748249,0.9999995323906739,0.0004813470811737978,0.00010214562508857279,4.034316792767183e-05,0.010311451324596294,0.00018055906626891774,7.550321447812211e-05,0.005198014063770916,0.9999983885279375,0.9999997174419709,0.0003502456564712894,0.9970312244427879,0.9999959838477597,0.9999997578306532,2.598747846903544e-05,0.9999998695467848,0.00013801835356086383,0.00010962843759811149,0.0002125347141427853,0.9999827562542873,0.9690753666712228,0.9998814035099797,0.9999227745738107,0.9999892696089725,0.0001604931355674027,0.9970408805678287,7.826280125328692e-05,0.999973884551828,0.999543982188023,0.9999792681464372,0.9999950641139278,0.999972995139423,0.9999997578306532,0.9999961446844187,0.9999233352577565,0.9999597904762383,0.9998778006097758,0.00010794930525221904,0.9996712766290142,0.9122119580435464,0.9997803286601625,0.9999534115833644,0.9903084589420483,0.9997193480539018,1.819361999042175e-05,0.0004197960331210363,8.578286027409315e-05,0.0002352471687966202,1.4158135103845182e-05,0.99999847765881,0.9999931546639877,0.9999228474339842
cucumber,object,0.9999757686789883,0.8417668415066322,0.9999786237489078,0.9999746665923285,0.536513500178981,1.5736684814541154e-05,1.3185043324533829e-06,0.7209290925656244,0.0001193640665508592,3.32596399256541e-06,0.1391677616267091,0.9998484318375218,0.9999435737302497,0.005315191712642356,0.9718386220034256,0.9998194447626305,0.9999585874620033,1.3446712228254899e-05,0.9999719636661561,6.508967710838852e-06,3.4750373227475006e-05,0.46458890977129297,0.9999854647767547,0.9994061276324142,0.9999262656092255,0.9999495940449696,0.9999934950595796,0.00014841505662518964,0.9950445959621911,0.0001264247692926065,0.9999491874944844,0.9901658564328925,0.9999800762008654,0.9999950463081001,0.9999442248988422,0.9999641646044375,0.9999861993765431,0.9999222557325962,0.9999789616331181,0.9998954447123838,0.00017793835747119743,0.9997245386250666,0.99624325449118,0.9998020149373525,0.9999780413366416,0.9235266619308856,0.9967079184693868,1.4585743878365135e-06,0.6387583233437739,0.333388766276015,9.52738595673678e-06,3.7276002092037647e-06,0.9999974346616243,0.9999905238968275,0.9999340739548013
fruit,rgb,0.9823253306138443,0.9943122341082862,0.9888886127861845,0.9884682855564226,7.005727088080975e-05,2.3270092973009496e-06,0.9999999999999984,0.0005050923114360208,2.6718237575923382e-05,0.9999999999999807,0.9984298256221106,0.989232346226758,0.9831458279160987,0.9944651483755702,0.9939139451331811,0.9937676382448665,0.9813230302372838,2.6616042482120147e-06,0.9879059276609438,0.9999999999999976,5.384265019961646e-06,0.00043056338114705155,0.23019188358664586,0.9921182743252446,0.33720342120383723,0.9998627625457162,0.361678494625797,0.9997109810859904,0.9999194407226273,0.9997457173711988,0.9953108502341099,0.9856562359130947,0.22922047464580836,0.22245495835229298,0.30349137731118836,0.9814782577907714,0.3641841158755228,0.27273739786208756,0.3883451524429544,0.46646359086890266,0.9997984637510611,0.3902347139937799,0.998446745684711,0.42754911524974243,0.29943972522089785,0.9899138757908381,0.9847366917960113,0.9999999999999973,0.0001060706101229818,0.0001333337702137748,0.9999999999999816,2.2718455818610455e-06,0.3358396574935486,0.25938708226036955,0.21688736627201793
fruit,shape,0.9974413103558086,0.9298350644790522,0.9975382471723027,0.9970486564899148,4.2656558689525706e-05,0.00041262169026238534,0.0001036215127568731,0.00038088385142760967,6.982132553184276e-06,4.281151168624667e-05,0.0963983484774584,0.9915685225807435,0.9926697757605264,0.0004700326973596406,0.8434731348164631,0.9913666062544301,0.9967021299737722,6.006530967972148e-05,0.9970433243981699,3.1462960021280724e-05,5.0774761049228715e-05,7.77237948015546e-05,0.9982223006609366,0.9957715593021293,0.04617884015965792,0.9998958788559945,0.9986758579885294,0.9998312041428168,0.9999868298701426,0.9995783113494009,0.9998806443338132,0.9176610708860805,0.9927250275991519,0.9987535360096682,0.9921948951498424,0.9967021299737722,0.9398463047840246,0.9330870836653875,0.9996236453699022,0.9996899648983856,0.9995596721694907,0.6776767978528164,0.9994557424224473,3.070049584091846e-05,0.9979860272728819,0.9898491377363725,0.9984226579676735,1.759405006786347e-05,2.240650858438846e-05,8.42048947498454e-05,5.781908724149328e-05,0.00010174742809271948,0.9966071658975497,0.9965768538825328,0.9979614803749692
fruit,object,0.993748570167747,0.9774205022534345,0.9962051291829473,0.9957003529499944,6.890460190848566e-05,7.472188489892655e-05,0.9999509482942739,0.00023332053788560354,4.01093154044039e-06,0.9998130227653986,0.9302515492203658,0.9904649970622496,0.987524886942727,0.17187204065568404,0.9582235034112241,0.9892185729081714,0.9916431259398208,3.643165091795958e-06,0.9939297857089392,0.9998683372731499,4.005412617253319e-06,0.00010521736516493127,0.9467429407736266,0.9979182469278968,0.14015424926650671,0.9999606934922223,0.9724418090015713,0.9999020393289317,0.9999886858905029,0.9998358108334282,0.9996307676345216,0.9688155861598513,0.8911274993891324,0.9598895251882862,0.9029619014779748,0.9918004612808435,0.7680422800626154,0.7080589444120166,0.9877944448412733,0.9891500861165131,0.9997822508732489,0.6478960538135308,0.9996580870207205,0.008222331841356463,0.9618234426442678,0.9940517968022156,0.9970940529076155,0.9998483904691227,3.281033029405901e-05,6.750691684608094e-05,0.9997509021010876,4.548565873351653e-06,0.9384503379663601,0.9342096744602556,0.9433377123655717
green,rgb,0.997530048273752,0.9996212767232985,0.9985883525463977,0.9984407766653308,0.999923865858176,4.993329096872678e-06,0.9999991220945199,0.999894120299189,0.00011368778358598715,0.9999978937192151,0.9999989803725406,0.9987049113179001,0.997849064922286,0.9996553274142693,0.999650252432402,0.9996253698033198,0.9971225556618862,1.2906961585421902e-05,0.9982357237180655,0.9999990867592139,2.1796784765863763e-05,0.9999564434589466,0.999986257363022,0.9999999572463558,0.9999897537403448,0.9999994702658084,0.9999626481955203,0.9999979371921291,0.9999999172630818,0.9999985683485072,0.9999996617804121,0.9982501002516159,0.9999935617323192,0.9999814712806538,0.9999711907577802,0.9978157769537982,0.9999620050956652,0.9999877120367413,0.9999681345986247,0.9999524660308676,0.9999985807968674,0.9999863888222988,0.9999999965436166,0.9999338979202398,0.9999870010814663,0.9986001337135797,0.9983724956771978,0.9999988893235604,0.9999070439020468,0.9999230393618314,0.9999979528747863,8.200515254592678e-06,0.9999637961576394,0.9999896464250035,0.9999920715720728
green,shape,0.9999999954930798,0.999921397298883,0.999999974712189,0.9999999406168192,0.9982803448604011,9.290916795295324e-05,0.01670797225340144,0.9991081249813288,0.00036720997961788775,0.5668564955535251,0.9995469224356655,0.9999999828269882,0.9999999824642766,0.006106901934746328,0.9999998321094767,0.9999999981878358,0.9999999947424973,0.0006069551472931051,0.9999999895529766,0.01720353276568651,0.0003012498144779455,0.9992863930268235,0.9999999884807366,0.999813553436211,0.9999457346895415,0.999601272940502,0.9999999964445958,0.9999918411354527,0.9999946799518259,0.5671695536679177,0.9999986048180803,0.9999735085791555,0.9999995605880022,0.9999999981700565,0.9999995799255715,0.9999999947424973,0.9999998952375292,0.99999951052132,0.999998178009249,0.9999900156355308,0.556516033553435,0.9999937595021572,0.9999895895320688,0.999857922703078,0.9999979663328491,0.9837718476596201,0.9955888644658363,0.09899760602748249,0.9982059880750775,0.9969240602760328,0.20213208039718691,0.0004005017365201046,0.9999999994055264,0.99999993091434,0.9999998034933619
green,object,0.9979488526233303,0.9991107519524173,0.998811171596379,0.9985356900691302,0.9998877527007992,1.0546786329874788e-05,0.9998140980877165,0.9998817772431712,7.432507958228657e-05,0.9997886520792004,0.9999888784329045,0.998703410094936,0.9978023599470167,0.9968832666789929,0.9994992927197941,0.9996304772479674,0.9972615841199691,2.5770944292223783e-05,0.998393216269493,0.9997883175210492,2.3699664882493498e-05,0.9999306897672412,0.9999838457485476,0.9999998636812487,0.9999905649632803,0.9999986516394725,0.9999806802232518,0.9999963658595199,0.9999998289694277,0.9999939199731757,0.9999993893817027,0.9968339272123214,0.9999928533386773,0.9999844414160255,0.9999724355080382,0.9978804395994235,0.9999768634353438,0.9999910078144111,0.9999811557708946,0.999980309964409,0.9999877436648366,0.9999884649132411,0.9999999886443368,0.9999535849255664,0.9999877873934917,0.9972449098180328,0.9973894584019769,0.9997687503549058,0.9998669129637652,0.9998693260563175,0.9997247531584466,1.8100141311638392e-05,0.9999709417908895,0.9999875168632955,0.9999899891508977
like,rgb,0.9945383269575383,0.806546198146429,0.9785958878367486,0.9819850550859044,0.9999999999999996,1.0,0.9999974635297961,0.9999999999996971,1.0,0.995768642009512,0.07829830803500076,0.9752235944415635,0.9929930610985886,0.7855562064414019,0.8092889253281367,0.8242171388153329,0.9958875789068893,1.0,0.985538048666984,0.9999848849844767,1.0,0.9999999999998388,0.9999923659027662,0.9468945203196929,0.9999748770499912,0.0036713391536729568,0.9999680564754823,0.006856733701218085,0.005936493547498687,0.006083043779820698,0.4691086749303701,0.9885205147994142,0.9999935917709849,0.9999929398756116,0.9999816327439112,0.9940115465886447,0.9999673754712313,0.999987235912487,0.9999580147857373,0.9999220227486633,0.004552088341348895,0.9999562718175817,0.981997364760853,0.9999491264270033,0.9999826113157496,0.9752879999661027,0.988512658780038,0.9999812343088855,0.9999999999999978,0.9999999999999956,0.9961950176183233,1.0,0.9999750439333895,0.9999894038342667,0.9999942634928092
