Token,Type,0-banana/banana_2,1-banana/banana_2,0-corn/corn_4,1-corn/corn_4,2-corn/corn_4,3-corn/corn_4,4-corn/corn_4,0-cube/cube_4,1-cube/cube_4,2-cube/cube_4,3-cube/cube_4,4-cube/cube_4,0-cucumber/cucumber_4,1-cucumber/cucumber_4,2-cucumber/cucumber_4,3-cucumber/cucumber_4,4-cucumber/cucumber_4
corn,rgb,0.9999975744609508,0.9999976435620151,0.9998941887605648,0.9998978042727252,0.9999004550856143,0.9999025906958702,0.9999123712416128,1.0,1.0,1.0,1.0,1.0,0.7458553480010416,0.7929755903250884,0.8184799850270891,0.8213541412245695,0.8966678735224036
corn,shape,0.9017805777071906,0.9999995600051652,0.9998910462149906,0.9999999574159686,0.9999997879554278,0.9999901627610065,0.9999999533044428,8.638790761389878e-06,6.042408905873548e-05,5.9359145000060866e-05,0.0001975401331701271,4.771525294499977e-05,0.9937214951689991,0.9999965657276656,0.9989641183538742,0.9988764751246464,0.9899778815295452
corn,object,0.9998696796891806,0.9999996852074778,0.9999457896336794,0.9999991541725894,0.9999979786611208,0.9999860594741778,0.9999990928203085,0.9999993535442457,0.9999997659020621,0.9999999084576684,0.9999999555928272,0.9999999262965992,0.9793710896937033,0.9995527608113106,0.993352360842136,0.9932303272672239,0.983774436542598
cube,rgb,0.0027507548725739534,0.005695201116208605,0.00021295181872010342,0.00021147392308327597,0.00021068486531335124,0.00021027529188657077,0.00020031828373358876,0.9960359310499095,0.9964079527862039,0.9999403895105337,0.9999567870623942,0.9999869998384514,0.0795830018264496,0.05825169996372432,0.05112856563609015,0.04997360124474167,0.028592051957643017
cube,shape,1.830554730342467e-06,5.061571622065815e-07,1.0908764921608116e-05,8.005367191984131e-08,1.130622286469764e-07,4.1935253647281365e-06,1.847599626292647e-06,0.999989031714065,0.9999491743836295,0.9999246243387051,0.9998561330357977,0.9999667373034575,0.001701233207443804,6.08728514675221e-07,2.0360918792438604e-05,0.0031166263856162823,0.00697462093054306
cube,object,1.4645739461016487e-06,3.8569125234902225e-07,6.8454823487704e-06,9.731006143130392e-08,1.4522132482397818e-07,3.5671440604608353e-06,2.190851110232552e-06,0.9999680626374993,0.9999076586139589,0.999900782037807,0.9998567855005674,0.9999604370895877,0.0008779605848656096,1.3216733716016306e-06,3.2218612955667616e-05,0.001649137732573815,0.0072256291051962605
cucumber,rgb,0.21618754205484444,0.47144787191693366,8.367133386081781e-05,9.793798179617548e-05,0.00011143230528054021,0.00012481440169274406,9.442023472809133e-05,1.439925885381912e-19,1.4155201306137863e-19,2.492202732802907e-20,3.1966057944996006e-20,1.5489688686569047e-20,0.9998643012264495,0.9997098209123728,0.9996148652679491,0.9995926192351499,0.9985447219829744
cucumber,shape,0.9999999995005713,0.48442588220708,0.02374438918048035,0.0032278656794954,0.006082809715571327,0.0008342258825225272,7.123781791586317e-05,0.9906570078156876,0.8729189004003098,0.7666640116563754,0.8432497373185575,0.7875485649996502,0.9999321706888801,0.9986890158682612,0.9998050509430461,0.9996343839569393,0.9997710384466444
cucumber,object,0.9998887801739569,0.885484203030526,0.0008576582010583777,0.0004053062512291085,0.000620135142401102,0.00012790584093017761,3.688034530775753e-05,7.264328408068528e-10,2.178178429114134e-10,8.872260574905847e-11,9.425010227289993e-11,7.02851536992982e-11,0.9998812100056091,0.9993688041851853,0.9998844082768659,0.9997783292777245,0.9998200444933796
ear,rgb,0.9092612465294092,0.7946744626921893,0.9999449259204963,0.9999372954539671,0.9999302952827579,0.9999235289994829,0.9999362676136638,0.9999999999772569,0.9999999999770559,0.9999999999845846,0.9999999999805951,0.9999999999853921,0.12096248804952811,0.18759155934269522,0.21553579267779913,0.22207650355488825,0.39093372735056386
ear,shape,0.9795581009312858,0.9999994959458018,0.999902008407159,0.9999999621502874,0.9999998069526232,0.9999910603623159,0.999999953152676,2.062363534294084e-05,0.0003591293075533561,0.0003648326410155421,0.0017356546454432202,0.0003736739951758129,0.9893400888238281,0.9999951659998242,0.9992262349041044,0.9979205578341688,0.9859299719284693
ear,object,0.9813086305539152,0.999899995841849,0.999947964476847,0.9999993659336929,0.9999983160862714,0.9999881286557032,0.9999993680447937,0.9979588738652343,0.9996238959042432,0.9997009377575886,0.9998504733124802,0.9996838008067815,0.8674792645094096,0.9976296884574982,0.9713990347927361,0.9578988801154206,0.9113471539528765
