Token,Type,0-banana/banana_3,1-banana/banana_3,0-corn/corn_1,1-corn/corn_1,2-corn/corn_1,3-corn/corn_1,0-cube/cube_3,1-cube/cube_3,2-cube/cube_3,3-cube/cube_3,4-cube/cube_3,0-cucumber/cucumber_4,1-cucumber/cucumber_4,2-cucumber/cucumber_4,3-cucumber/cucumber_4,4-cucumber/cucumber_4
corn,rgb,0.0011104050443174857,1.1807507306054889e-05,0.999062928016016,0.9989096931421027,0.9991526206936909,0.9989526090334432,1.0,0.9999999999999998,0.9999999999999996,0.9999999999999993,0.9999999999999947,0.010327988168084857,0.021091468414721294,0.02521708812240902,0.026573131762669615,0.06622822188676368
corn,shape,0.0035972523858222834,5.318129480881795e-06,0.9999584676266988,0.9998578482548216,0.9998477365596762,0.999137958342717,0.0008245706918168305,9.679831799777818e-05,0.0005168768474997647,0.005913569634828582,0.00036472825031305857,0.9996832249209523,0.9999717117003808,0.08505548510872597,0.9999616842316449,0.04670799161621451
corn,object,0.0029264124125560633,1.7718023373767286e-05,0.9999665192647903,0.9998974770211749,0.9999244024209782,0.9995242289827173,0.9972776131000857,0.9941685025104426,0.9976126766698084,0.9992891599624061,0.9958518602189951,0.9743289331394435,0.9857165651118434,0.012895340736777488,0.9944437304277844,0.02785473312093465
cube,rgb,0.007163640577393133,0.05506239012949404,0.00034016071017572893,0.0003450931604997433,0.0003233723189095094,0.00033070232214933324,0.9999999679745278,0.9999999368114523,0.9999998580999158,0.9999993542784607,0.9999716694241773,0.11474215171520129,0.08465876110234619,0.0748321286562304,0.07316686199796893,0.04267065940178208
cube,shape,0.00018820405138035985,0.0024666814913609316,5.6340683735000014e-05,0.002523350785489981,0.002069423022524536,0.9996938778431188,0.9999630243163137,0.9999965293553402,0.9999871289483464,0.9999765604181646,0.999981374366907,0.003725576672544522,6.808003170249334e-06,4.5619425855999124e-05,0.004884488781047084,0.022268950194535727
cube,object,0.00015871431383346959,0.002234048679624699,5.3778173733316056e-05,0.0021027352805592257,0.0018059932542862293,0.9994160694694134,0.9999638944015216,0.9999963865121697,0.9999874245402862,0.9999777226325879,0.9999793508973989,0.0034668765201381177,9.807722295650477e-06,6.135102428861573e-05,0.0047726969283779005,0.024873735310124313
cucumber,rgb,1.940655786180218e-06,2.145575169276916e-06,0.0001599458033301423,0.00015934211562712903,0.0001254031644171552,0.00012646924360808294,0.9999999958386272,0.9999999975225289,0.9999999975714413,0.99999999118346,0.9999998901361654,0.9997573184050292,0.9995752629376427,0.9994195535421813,0.9993951838249481,0.9978936978715419
cucumber,shape,0.7240802375718929,0.9999999999903213,0.9417715225199305,0.06079854661215553,0.0008617280368693088,1.150453419127396e-05,0.0016060775679716012,6.705852906743351e-05,8.681317304024736e-05,0.013757171469732496,0.00012953486615228309,0.9999483877708832,0.999044167786481,0.9998063454076284,0.9997594865244549,0.9998438622445873
cucumber,object,0.01772090811646676,0.9998769007201473,0.03124993626215542,0.001701366009925943,0.00018603808134673303,1.0984802469402808e-06,0.17412114772782616,0.01157988828093898,0.024092294476437077,0.25005147064173944,0.010144741048573108,0.9999116826097152,0.9994735373423687,0.9998762195430464,0.9998204719356655,0.999843438174698
ear,rgb,0.0011104050443174857,1.1807507306054889e-05,0.999062928016016,0.9989096931421027,0.9991526206936909,0.9989526090334432,1.0,0.9999999999999998,0.9999999999999996,0.9999999999999993,0.9999999999999947,0.010327988168084857,0.021091468414721294,0.02521708812240902,0.026573131762669615,0.06622822188676368
