,Accuracy,F1-Score,Num Negative Examples,Num Positive Examples,Precision,Recall
plastic,0.8477777777777776,0.8228571428571428,7.0,3.0,0.7305555555555555,1.0
plate,0.906111111111111,0.9366666666666666,8.0,1.0,1.0,0.9
plier,0.6755555555555555,0.7107142857142857,8.0,1.0,0.6866666666666665,0.8388888888888887
potato,0.923888888888889,0.9088888888888889,8.0,1.0,0.9833333333333334,0.8722222222222222
prescript,0.8250000000000001,0.811111111111111,8.0,1.0,0.8333333333333334,0.861111111111111
purpl,0.8722222222222222,0.8812698412698413,8.666666666666666,2.0,0.8305555555555556,0.9666666666666667
red,0.85,0.8457142857142856,7.666666666666667,4.0,0.7638888888888888,1.0
scissor,0.6755555555555556,0.7185714285714285,8.0,1.0,0.6166666666666666,0.9111111111111111
screwdriv,0.8955555555555555,0.8971428571428571,8.0,1.0,0.9,0.9333333333333332
shampoo,0.9272222222222223,0.9333333333333332,8.0,1.0,0.9444444444444443,0.9444444444444443
sharpi,0.8711111111111111,0.89,8.0,1.0,0.9222222222222222,0.8833333333333333
silver,0.7977777777777778,0.8153174603174603,9.0,4.0,0.7005555555555555,1.0
small,0.9116666666666666,0.9065079365079365,6.0,6.0,0.8555555555555555,1.0
spoon,0.8555555555555556,0.8574603174603176,8.0,1.0,0.8638888888888889,0.9055555555555556
stapler,0.8172222222222221,0.8346031746031746,8.0,1.0,0.7861111111111111,0.9333333333333332
syring,0.6772222222222221,0.7050000000000001,8.0,1.0,0.5977777777777777,0.9055555555555554
tape,0.9111111111111111,0.9155555555555556,8.0,1.0,0.938888888888889,0.9166666666666666
toothbrush,0.9111111111111111,0.9333333333333332,8.0,1.0,1.0,0.8999999999999999
toothpast,0.8450000000000001,0.8566666666666668,8.0,1.0,0.9499999999999998,0.8222222222222223
towel,0.9283333333333333,0.9244444444444445,8.0,1.0,1.0,0.8833333333333332
use,0.9466666666666667,0.9244444444444445,3.6666666666666665,2.0,0.9166666666666666,0.9666666666666665
water,0.9283333333333333,0.9288888888888888,8.0,1.0,1.0,0.8888888888888888
white,0.7033333333333335,0.7104761904761906,6.666666666666667,7.0,0.58,1.0
wrench,0.7694444444444445,0.7652380952380953,8.0,1.0,0.763888888888889,0.8722222222222221
yellow,0.9,0.8866666666666667,8.666666666666666,5.0,0.8222222222222221,1.0
