,banana/banana_4,corn/corn_2,cube/cube_2,cucumber/cucumber_3
different,0.0,1.0,0.0,0.0
direction,0.0,1.0,0.0,0.0
dishes,1.0,0.0,0.0,0.0
distorted,0.0,0.0,1.0,0.0
do,0.0,0.0,1.0,0.0
does,0.0,1.0,1.0,0.0
dont,1.0,1.0,1.0,0.0
dream,0.0,0.0,1.0,0.0
dry,1.0,0.0,0.0,0.0
during,1.0,0.0,0.0,0.0
eat,2.0,3.0,0.0,0.0
eating,0.0,2.0,0.0,0.0
edge,0.0,0.0,1.0,0.0
edges,3.0,0.0,0.0,0.0
evergreen,0.0,0.0,1.0,0.0
except,0.0,0.0,1.0,0.0
expo,0.0,1.0,0.0,0.0
eyes,0.0,0.0,0.0,1.0
facing,0.0,1.0,0.0,0.0
far,0.0,0.0,0.0,1.0
feeling,1.0,0.0,1.0,0.0
flute,1.0,0.0,0.0,0.0
focal,0.0,1.0,0.0,0.0
food,1.0,1.0,0.0,0.0
for,1.0,3.0,1.0,0.0
freezer,0.0,0.0,2.0,0.0
fresh,0.0,0.0,0.0,1.0
from,0.0,1.0,0.0,0.0
fruit,2.0,0.0,0.0,0.0
fun,1.0,0.0,0.0,0.0
fuzzy,0.0,0.0,1.0,0.0
garden,0.0,1.0,0.0,0.0
get,1.0,0.0,0.0,0.0
going,1.0,1.0,0.0,0.0
gold,0.0,0.0,0.0,1.0
golden,0.0,1.0,0.0,1.0
gone,0.0,2.0,0.0,0.0
good,1.0,2.0,0.0,1.0
got,0.0,0.0,1.0,0.0
gray,0.0,1.0,1.0,0.0
green,7.0,0.0,27.0,20.0
greenish,1.0,0.0,0.0,0.0
gumbo,0.0,0.0,0.0,1.0
has,3.0,0.0,1.0,3.0
have,1.0,3.0,0.0,2.0
having,0.0,1.0,0.0,1.0
head,1.0,1.0,0.0,0.0
healthy,0.0,1.0,0.0,0.0
hello,0.0,1.0,0.0,0.0
high,1.0,0.0,0.0,0.0
how,0.0,1.0,0.0,0.0
i,4.0,5.0,5.0,2.0
in,4.0,10.0,5.0,8.0
india,0.0,1.0,0.0,0.0
individual,0.0,1.0,0.0,0.0
info4pi,0.0,1.0,0.0,0.0
instead,0.0,1.0,0.0,0.0
is,14.0,23.0,17.0,17.0
it,10.0,8.0,11.0,12.0
items,0.0,0.0,1.0,0.0
its,10.0,6.0,4.0,2.0
just,1.0,1.0,1.0,0.0
kept,1.0,0.0,0.0,0.0
kernels,0.0,3.0,0.0,0.0
kind,3.0,1.0,0.0,0.0
know,0.0,0.0,1.0,0.0
laminated,1.0,0.0,0.0,0.0
lazy,0.0,1.0,0.0,0.0
less,0.0,0.0,1.0,0.0
light,0.0,2.0,0.0,1.0
lights,0.0,0.0,1.0,0.0
like,2.0,5.0,7.0,1.0
linings,0.0,0.0,0.0,1.0
list,1.0,0.0,0.0,0.0
little,1.0,1.0,1.0,0.0
long,0.0,0.0,0.0,1.0
look,0.0,1.0,0.0,0.0
looking,1.0,1.0,0.0,0.0
looks,3.0,2.0,7.0,1.0
made,0.0,1.0,0.0,0.0
make,0.0,1.0,0.0,0.0
malaysian,1.0,0.0,0.0,0.0
many,1.0,1.0,0.0,0.0
markings,1.0,0.0,0.0,0.0
me,1.0,2.0,1.0,0.0
means,0.0,1.0,0.0,0.0
mess,0.0,0.0,1.0,0.0
more,0.0,1.0,0.0,0.0
morning,0.0,0.0,0.0,1.0
mostly,0.0,1.0,0.0,0.0
my,0.0,0.0,1.0,0.0
n,0.0,1.0,0.0,0.0
need,0.0,1.0,1.0,0.0
needs,1.0,0.0,0.0,0.0
normal,0.0,1.0,0.0,0.0
not,5.0,1.0,1.0,0.0
nuts,0.0,1.0,0.0,0.0
object,0.0,0.0,3.0,1.0
of,5.0,8.0,9.0,6.0
off,0.0,1.0,0.0,0.0
okay,0.0,1.0,0.0,0.0
older,0.0,1.0,0.0,0.0
on,4.0,11.0,1.0,4.0
one,1.0,2.0,1.0,0.0
opium,1.0,0.0,0.0,0.0
or,1.0,2.0,2.0,2.0
other,0.0,1.0,0.0,0.0
out,0.0,2.0,0.0,0.0
overripe,1.0,0.0,0.0,0.0
paper,0.0,0.0,0.0,1.0
part,1.0,0.0,1.0,0.0
partially,0.0,1.0,1.0,0.0
peel,0.0,1.0,0.0,0.0
picture,0.0,1.0,0.0,2.0
piece,0.0,1.0,0.0,0.0
pixelated,0.0,1.0,0.0,0.0
pizza,0.0,1.0,0.0,0.0
place,0.0,1.0,0.0,0.0
places,0.0,0.0,0.0,1.0
plane,0.0,1.0,0.0,0.0
plant,0.0,1.0,0.0,0.0
plantain,5.0,0.0,0.0,0.0
plump,0.0,1.0,0.0,0.0
pointy,1.0,0.0,0.0,0.0
popcorn,0.0,1.0,0.0,0.0
position,1.0,0.0,0.0,0.0
possibly,1.0,0.0,0.0,0.0
prefer,0.0,0.0,1.0,0.0
previously,0.0,1.0,0.0,0.0
probably,0.0,0.0,1.0,1.0
properties,0.0,0.0,0.0,1.0
proudly,0.0,0.0,1.0,0.0
pure,0.0,0.0,1.0,0.0
purposes,0.0,1.0,0.0,0.0
put,0.0,0.0,0.0,1.0
q,0.0,0.0,1.0,0.0
que,0.0,0.0,1.0,0.0
queue,0.0,0.0,1.0,0.0
quite,1.0,0.0,0.0,1.0
raw,2.0,0.0,0.0,0.0
really,0.0,1.0,0.0,0.0
rectangle,0.0,0.0,1.0,0.0
rectangular,0.0,0.0,2.0,0.0
relax,0.0,0.0,0.0,1.0
reminds,0.0,0.0,1.0,0.0
resemblance,0.0,0.0,0.0,1.0
reuse,0.0,0.0,0.0,1.0
right,1.0,0.0,0.0,1.0
ripe,2.0,0.0,0.0,0.0
ripen,1.0,0.0,0.0,0.0
round,0.0,0.0,1.0,0.0
rounded,0.0,0.0,1.0,0.0
sabine,0.0,0.0,1.0,0.0
said,0.0,1.0,0.0,0.0
saju,0.0,1.0,0.0,0.0
salad,0.0,0.0,0.0,2.0
salads,0.0,1.0,0.0,3.0
salon,0.0,1.0,0.0,0.0
sandwiches,0.0,0.0,0.0,1.0
saturday,0.0,0.0,0.0,1.0
screen,0.0,0.0,1.0,0.0
seats,0.0,1.0,0.0,0.0
see,1.0,2.0,3.0,1.0
seems,1.0,0.0,0.0,0.0
seen,0.0,1.0,0.0,0.0
set,1.0,0.0,0.0,0.0
sex,0.0,1.0,0.0,0.0
shadow,0.0,0.0,1.0,0.0
shape,0.0,1.0,0.0,0.0
shaped,0.0,0.0,1.0,0.0
sharp,1.0,0.0,0.0,0.0
short,1.0,0.0,0.0,0.0
should,1.0,0.0,0.0,0.0
sides,0.0,0.0,1.0,0.0
similar,1.0,0.0,0.0,0.0
siscon,0.0,1.0,0.0,0.0
sit,0.0,1.0,0.0,0.0
slightly,1.0,0.0,1.0,0.0
snacks,0.0,1.0,0.0,0.0
so,1.0,0.0,2.0,0.0
soft,1.0,0.0,0.0,0.0
soggy,1.0,0.0,0.0,0.0
solid,0.0,0.0,1.0,0.0
some,1.0,0.0,2.0,1.0
something,0.0,1.0,2.0,0.0
somewhere,0.0,0.0,0.0,1.0
sorry,1.0,0.0,0.0,0.0
sort,0.0,0.0,2.0,0.0
sponge,0.0,0.0,3.0,0.0
spots,1.0,0.0,0.0,0.0
square,0.0,0.0,3.0,0.0
squash,0.0,0.0,0.0,2.0
state,1.0,0.0,0.0,0.0
stomach,1.0,0.0,0.0,0.0
stripes,0.0,0.0,0.0,1.0
study,1.0,0.0,0.0,0.0
subcon,0.0,1.0,0.0,0.0
substance,0.0,0.0,2.0,0.0
sucks,1.0,0.0,0.0,0.0
summer,0.0,0.0,0.0,1.0
sweet,0.0,2.0,0.0,0.0
sza,0.0,1.0,0.0,0.0
table,0.0,1.0,0.0,0.0
taken,0.0,1.0,0.0,0.0
tank,0.0,0.0,0.0,1.0
than,0.0,0.0,1.0,0.0
that,2.0,2.0,0.0,0.0
the,2.0,16.0,7.0,2.0
these,0.0,0.0,0.0,1.0
they,0.0,2.0,1.0,0.0
this,10.0,6.0,7.0,6.0
till,0.0,1.0,0.0,0.0
to,4.0,2.0,4.0,3.0
took,0.0,1.0,0.0,0.0
top,0.0,0.0,0.0,1.0
tortillas,0.0,2.0,0.0,0.0
towards,0.0,1.0,0.0,0.0
toy,0.0,0.0,1.0,0.0
traffic,0.0,0.0,1.0,0.0
trees,0.0,0.0,1.0,0.0
turn,0.0,0.0,1.0,0.0
two,1.0,0.0,1.0,0.0
type,0.0,0.0,0.0,1.0
ultra,0.0,0.0,1.0,0.0
uncooked,0.0,1.0,0.0,0.0
understand,0.0,1.0,0.0,0.0
unpeeled,1.0,0.0,0.0,0.0
unripe,2.0,0.0,0.0,0.0
use,1.0,0.0,1.0,0.0
used,1.0,1.0,3.0,2.0
user,1.0,0.0,0.0,1.0
users,1.0,0.0,0.0,0.0
usually,0.0,2.0,2.0,0.0
valuable,0.0,0.0,0.0,1.0
vegetable,0.0,2.0,0.0,3.0
vegetables,0.0,0.0,0.0,1.0
very,2.0,2.0,1.0,0.0
want,1.0,0.0,0.0,1.0
water,0.0,0.0,0.0,1.0
we,1.0,1.0,0.0,2.0
weird,0.0,1.0,0.0,0.0
went,1.0,0.0,0.0,0.0
were,0.0,1.0,0.0,0.0
western,0.0,1.0,0.0,0.0
what,0.0,2.0,2.0,1.0
whats,0.0,1.0,0.0,0.0
when,0.0,0.0,1.0,0.0
which,1.0,0.0,3.0,1.0
white,0.0,11.0,0.0,0.0
whitish,0.0,1.0,0.0,0.0
whole,0.0,1.0,0.0,0.0
wider,0.0,1.0,0.0,0.0
wisconsin,0.0,1.0,0.0,0.0
with,2.0,0.0,0.0,1.0
world,0.0,0.0,1.0,0.0
worst,0.0,0.0,0.0,1.0
yarrow,0.0,1.0,0.0,0.0
yellow,1.0,5.0,0.0,3.0
yet,2.0,0.0,0.0,0.0
you,3.0,2.0,0.0,1.0
young,0.0,0.0,1.0,0.0
your,0.0,0.0,0.0,1.0
