Token,Type,2-corn/corn_3,2-corn/corn_1,2-corn/corn_4,1-corn/corn_4,0-cube/cube_3,4-cube/cube_4,0-cube/cube_1,4-cube/cube_3,0-cube/cube_4,3-corn/corn_4,3-corn/corn_3,3-corn/corn_1,1-corn/corn_1,0-corn/corn_1,0-corn/corn_3,0-corn/corn_4,3-cube/cube_4,3-cube/cube_1,3-cube/cube_3,2-cucumber/cucumber_2,2-cucumber/cucumber_1,0-banana/banana_2,0-banana/banana_3,2-cucumber/cucumber_4,0-banana/banana_1,1-banana/banana_3,1-banana/banana_2,1-banana/banana_1,2-cube/cube_3,0-cucumber/cucumber_1,0-cucumber/cucumber_2,0-cucumber/cucumber_4,1-corn/corn_3,3-cucumber/cucumber_4,3-cucumber/cucumber_2,3-cucumber/cucumber_1,4-cucumber/cucumber_4,2-banana/banana_1,4-cucumber/cucumber_1,4-corn/corn_4,4-corn/corn_3,2-cube/cube_4,1-cube/cube_1,2-cube/cube_1,1-cube/cube_4,1-cube/cube_3,1-cucumber/cucumber_4,1-cucumber/cucumber_1,1-cucumber/cucumber_2
,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cucumber,rgb,9.74065873942464e-06,2.619933663174579e-05,8.66577249443414e-06,7.721031603823556e-06,6.267824382971953e-05,9.89651064206373e-30,0.9996673548675549,0.0001443391704726889,8.060072103498722e-28,9.594650966130069e-06,1.0363739102693994e-05,2.9774515416236255e-05,3.613235264614683e-05,3.3215420105666413e-05,7.5659538947651874e-06,6.712526216608498e-06,3.222104716880078e-29,0.9993428282081422,0.00019245118402872737,0.9999035750692421,0.9999695649673132,0.002206642239137383,0.0026104576241071007,0.999464318642371,0.0009587501617278831,0.03073273893564985,0.006052604365257522,0.0014861187097541912,0.00033184776542695405,0.9999965851437349,0.9999459876259366,0.9998281371854288,1.113810698784729e-05,0.9994313201480717,0.9999792081489262,0.999493958447931,0.9976078404956404,0.000878228888543008,0.9967673466033241,7.012377212493484e-06,1.0625892414405581e-05,2.7401866576474765e-29,0.9995910667851674,0.9995913714684282,7.626667647898635e-28,0.00018634910378790933,0.9996140956430228,0.9999869566745638,0.9999599514448407
cucumber,shape,0.9933822085846038,0.9659461256648524,0.999999611748249,0.9999995323906739,0.00010214562508857279,4.034316792767183e-05,0.008418311212718336,0.00018055906626891774,7.550321447812211e-05,0.9999983885279375,0.889168815246456,0.0003502456564712894,0.9970312244427879,0.9999959838477597,0.9999976459829437,0.9999998695467848,0.00013801835356086383,0.00046484797701504136,0.00010962843759811149,0.9997152675771327,0.9998814035099797,0.9998871030018066,0.9999227745738107,0.9999892696089725,0.0001604931355674027,0.9970408805678287,0.9999922793883869,7.826280125328692e-05,2.598747846903544e-05,0.9999792681464372,0.999993274726722,0.999972995139423,0.9973124561380171,0.9999961446844187,0.9997377518011834,0.9999597904762383,0.9998778006097758,0.00010794930525221904,0.9997803286601625,0.9903084589420483,0.0027613866946701185,1.819361999042175e-05,0.01483814267126838,0.0013861084014859266,0.0002352471687966202,1.4158135103845182e-05,0.99999847765881,0.9999931546639877,0.9999966513572305
cucumber,object,0.9327138754502348,0.8417668415066322,0.9999786237489078,0.9999746665923285,1.5736684814541154e-05,1.3185043324533829e-06,0.9200511875617515,0.0001193640665508592,3.32596399256541e-06,0.9998484318375218,0.6288967522813554,0.005315191712642356,0.9718386220034256,0.9998194447626305,0.9998259631077557,0.9999719636661561,6.508967710838852e-06,0.6351559441292999,3.4750373227475006e-05,0.9997711544307678,0.9999262656092255,0.9997071768226916,0.9999495940449696,0.9999934950595796,0.00014841505662518964,0.9950445959621911,0.9999904925854483,0.0001264247692926065,1.3446712228254899e-05,0.9999800762008654,0.999987132896625,0.9999442248988422,0.9742575066868984,0.9999861993765431,0.9998697915301286,0.9999789616331181,0.9998954447123838,0.00017793835747119743,0.9998020149373525,0.9235266619308856,0.00507905167551302,1.4585743878365135e-06,0.9425992733399521,0.8747464662315062,9.52738595673678e-06,3.7276002092037647e-06,0.9999974346616243,0.9999905238968275,0.9999990141298918
fruit,rgb,0.9999619124758573,0.999945602773155,0.9999640744648157,0.9999660730110342,5.390543859159276e-05,1.0,0.0015056909355415306,0.0017712770551215297,1.0,0.9999621718399131,0.999960824960306,0.9999412285682174,0.9999294093786445,0.9999327220165531,0.999963264545725,0.9999682815896132,1.0,0.0029818645850235043,0.0001413725156662535,0.0003249051904493218,0.0001360797716466845,0.9994178285739815,0.999327848075177,0.0014944284649437932,0.999683573373961,0.9938714939735169,0.998609864233129,0.9995532442402801,3.807754068641889e-05,1.736535068987117e-05,0.0001716961070418445,0.0005312836114780689,0.9999555140531682,0.0015754416426328839,9.397769554449186e-05,0.0015028408967454904,0.005990986276743858,0.999722380367984,0.007049228805282111,0.9999705249261451,0.9999601495493146,1.0,0.001829981503724594,0.0018250859873047832,1.0,3.599394142798857e-05,0.0010908744630617987,5.766356293982731e-05,0.000150785385423229
fruit,shape,0.9847173286208831,0.9948201011627702,0.999460405480111,0.9993661134668939,0.00035876801736891434,0.0007086495535049095,5.385762181265612e-05,1.949145059511083e-05,2.5316713628332096e-05,0.9986643539104647,0.9836485685822065,0.0006928755057988674,0.9863307304897178,0.9987306473961977,0.9986814554736958,0.9993332876781141,0.00013162033683691805,0.00018303482171950678,0.0002262852840393062,0.9986959375963658,0.25255264360520413,0.9998898129278684,0.999921321291434,0.9997136826011375,0.9998780174380578,0.999986577113934,0.9999588347736613,0.9996337894212333,6.9783443997745e-05,0.9978073223035785,0.8891420660738611,0.9975546908243976,0.9954155089874868,0.9853334884248791,0.00012533580227499846,0.9998571617989366,0.9997898183269995,0.9995329683944671,9.136708752823985e-05,0.998104152154632,0.08403817425786558,5.3795092589642336e-05,4.937069256909289e-05,4.947212257900832e-05,0.0005475610645490027,8.787113268548693e-05,0.9994428132825403,0.9990428521983408,0.9996103873138987
fruit,object,0.9919678658645189,0.9973621962340652,0.9996377837687473,0.9996256546502433,0.00013738043724508545,0.19701686185091177,0.00011155370141582391,9.606015257847883e-06,0.005497389341854704,0.9989971948403173,0.987900497582197,0.008269761576006689,0.9920131487349765,0.9987763177948001,0.9990126897953456,0.9995015919527616,0.05234404016702517,0.0002624736885532534,7.011595588711443e-05,0.9788318485085188,0.313258699151674,0.9999627746617691,0.9999440721858401,0.9992310411390151,0.9998930264511598,0.9999892007761251,0.9999736465213126,0.9997184588275823,9.721626909699004e-06,0.9930362724729895,0.8371247667649192,0.9939905688466698,0.9966686021308009,0.9695705982600304,0.0011237904505682528,0.9993717504112569,0.9985554817352125,0.999693720130506,0.0009474994683363877,0.9989590174086076,0.4740227427856277,0.02559957219745111,9.65226472014366e-05,9.482360341891021e-05,0.15686940270454203,9.846243095333785e-06,0.9986224780082034,0.9967258177357021,0.9987458310727719
green,rgb,0.9987236184429275,0.9996212767232985,0.9985883525463977,0.9984407766653308,4.993329096872678e-06,0.9999991220945199,0.9999999995448443,0.00011368778358598715,0.9999978937192151,0.9987049113179001,0.998797633509711,0.9996553274142693,0.999650252432402,0.9996253698033198,0.9980991762203092,0.9982357237180655,0.9999990867592139,0.9999999994855191,2.1796784765863763e-05,0.9999770948878465,0.9999897537403448,0.9999994113531335,0.9999994702658084,0.9999626481955203,0.9999979371921291,0.9999999172630818,0.9999997136469999,0.9999985683485072,1.2906961585421902e-05,0.9999935617323192,0.9999735981883832,0.9999711907577802,0.9986351433564918,0.9999620050956652,0.9999901608175762,0.9999681345986247,0.9999524660308676,0.9999985807968674,0.9999338979202398,0.9986001337135797,0.9988121179511522,0.9999988893235604,0.9999999995426956,0.9999999995450135,0.9999979528747863,8.200515254592678e-06,0.9999637961576394,0.9999896464250035,0.9999832336355886
green,shape,0.9999920057758421,0.999921397298883,0.999999974712189,0.9999999406168192,9.290916795295324e-05,0.01670797225340144,0.9978060290369538,0.00036720997961788775,0.5668564955535251,0.9999999828269882,0.9996496847398623,0.006106901934746328,0.9999998321094767,0.9999999981878358,0.9999999769940552,0.9999999895529766,0.01720353276568651,0.19056746009748377,0.0003012498144779455,0.9999969040075198,0.9999457346895415,0.9999649068161599,0.999601272940502,0.9999999964445958,0.9999918411354527,0.9999946799518259,0.9999984095276871,0.5671695536679177,0.0006069551472931051,0.9999995605880022,0.9999985448096985,0.9999995799255715,0.9999417366768013,0.9999998952375292,0.9998629253626119,0.999998178009249,0.9999900156355308,0.556516033553435,0.999857922703078,0.9837718476596201,0.7794866859289072,0.09899760602748249,0.9987390658793509,0.9671960417341507,0.20213208039718691,0.0004005017365201046,0.9999999994055264,0.99999993091434,0.9999998000524533
green,object,0.997997309564769,0.9991107519524173,0.998811171596379,0.9985356900691302,1.0546786329874788e-05,0.9998140980877165,0.9999999943603057,7.432507958228657e-05,0.9997886520792004,0.998703410094936,0.9974625227787087,0.9968832666789929,0.9994992927197941,0.9996304772479674,0.9980574815044155,0.998393216269493,0.9997883175210492,0.999999989458613,2.3699664882493498e-05,0.9999921084643528,0.9999905649632803,0.9999987324244612,0.9999986516394725,0.9999806802232518,0.9999963658595199,0.9999998289694277,0.9999994206337041,0.9999939199731757,2.5770944292223783e-05,0.9999928533386773,0.9999849412440558,0.9999724355080382,0.9977090040796387,0.9999768634353438,0.9999887783047875,0.9999811557708946,0.999980309964409,0.9999877436648366,0.9999535849255664,0.9972449098180328,0.9954026267728396,0.9997687503549058,0.9999999950978087,0.9999999923646993,0.9997247531584466,1.8100141311638392e-05,0.9999709417908895,0.9999875168632955,0.9999895541441323
like,rgb,0.9745777720845805,0.806546198146429,0.9785958878367486,0.9819850550859044,1.0,0.9999974635297961,0.987553433744244,1.0,0.995768642009512,0.9752235944415635,0.9717621551373621,0.7855562064414019,0.8092889253281367,0.8242171388153329,0.9888019421806229,0.985538048666984,0.9999848849844767,0.9771113846724677,1.0,0.9999833494848112,0.9999748770499912,0.0036150792101278485,0.0036713391536729568,0.9999680564754823,0.006856733701218085,0.005936493547498687,0.003944505956247577,0.006083043779820698,1.0,0.9999935917709849,0.9999929409177957,0.9999816327439112,0.9799842011769323,0.9999673754712313,0.9999814427798509,0.9999580147857373,0.9999220227486633,0.004552088341348895,0.9999491264270033,0.9752879999661027,0.9713652295516363,0.9999812343088855,0.9855928383290358,0.9856919520684356,0.9961950176183233,1.0,0.9999750439333895,0.9999894038342667,0.9999870091538573
