Token,Type,2-corn/corn_2,2-corn/corn_3,2-corn/corn_4,0-cube/cube_3,4-cube/cube_4,0-cube/cube_1,4-cube/cube_3,0-cube/cube_4,3-banana/banana_4,3-corn/corn_4,3-corn/corn_3,3-corn/corn_2,0-corn/corn_2,0-corn/corn_3,0-corn/corn_4,3-cube/cube_4,3-cube/cube_1,3-cube/cube_3,2-cucumber/cucumber_2,2-cucumber/cucumber_3,0-banana/banana_4,0-banana/banana_2,0-banana/banana_3,2-cucumber/cucumber_4,1-banana/banana_3,1-banana/banana_2,1-banana/banana_4,2-cube/cube_3,5-corn/corn_2,1-corn/corn_4,0-cucumber/cucumber_2,0-cucumber/cucumber_3,0-cucumber/cucumber_4,1-corn/corn_3,1-corn/corn_2,3-cucumber/cucumber_4,3-cucumber/cucumber_3,3-cucumber/cucumber_2,4-cucumber/cucumber_4,5-cucumber/cucumber_3,2-banana/banana_4,4-cucumber/cucumber_3,4-corn/corn_4,4-corn/corn_2,4-corn/corn_3,2-cube/cube_4,1-cube/cube_1,2-cube/cube_1,1-cube/cube_4,1-cube/cube_3,1-cucumber/cucumber_4,1-cucumber/cucumber_3,1-cucumber/cucumber_2
cucumb,rgb,0.7351526895142524,0.8163848455465025,0.8013400026941199,2.009344748046568e-05,3.95020710624586e-05,0.9999998917978258,0.00023138992488054252,9.357545221363943e-05,0.9998429838436178,0.8143426974874576,0.8245852659931203,0.760884045833239,0.7051037369839622,0.7622262687938184,0.7649437340201817,5.580727045906768e-05,0.9999998598300456,7.773307866952265e-05,0.9999421854183158,0.9999742831642603,0.9999986254970349,0.999605397697928,0.9996470689726519,0.9998743832091418,0.9999431867216554,0.9998085686932108,0.9999787428829555,6.193154865942548e-05,0.7861400908592097,0.7855902401443103,0.9999458876008783,0.9999643919376429,0.9999217658592101,0.8154666402711491,0.7687060658818335,0.9998709327933868,0.999974022852568,0.9999776747734361,0.9997800518978297,0.9999589737819808,0.9999997837726647,0.9999698600017459,0.7927312544027585,0.8069809576153735,0.8267056039331682,4.75195620227042e-05,0.9999998851508837,0.9999998855128556,9.35267303980865e-05,3.83773354587583e-05,0.9998873327562122,0.9999871906297302,0.9999626181479705
cucumb,shape,0.9999992432314098,0.9985888086266278,0.9999982086885648,0.00019408457393038317,2.5564197772608228e-05,0.011979484293189187,7.25762023293231e-05,4.688865996425546e-05,0.007021677511399654,0.9999975973914941,0.9568943298904519,0.9999985780929667,0.9999984956975997,0.9999940363322877,0.9999995393611191,5.157915813719723e-05,0.0003887563504946088,7.201556622802346e-05,0.999798850808562,0.99998514886021,0.9811243275668364,0.9999926756681896,0.9998311266826893,0.9999868905437161,0.999987966628453,0.9999904468546716,0.9999986060203158,1.6549470109326803e-05,0.9996713259507777,0.9999973353434414,0.9999964700099966,0.9999954752166248,0.999982239640754,0.998442173879759,0.9999984956975997,0.9999973256032927,0.9999810482785184,0.9996896339487569,0.999871950194155,0.9997879136650322,0.9995849797522588,0.9999717390414501,0.9958162437844373,0.9994696302629078,0.0041931527460725366,8.181306111494078e-06,0.0160426332100272,0.00042782526404315995,9.253652583739263e-05,2.366253264493432e-05,0.9999945984309415,0.9999681340182401,0.9999856611426703
cucumb,object,0.9995845832174873,0.9881066118293638,0.9995762489946027,5.860592486096333e-05,1.8036875607964696e-05,0.9973299097767123,5.963094995226398e-05,4.038605823129572e-05,0.9695836870601281,0.9993403483513335,0.9383432204196692,0.9993539975646267,0.9993297203095178,0.9988450738033067,0.9996319702423151,2.834229682334771e-05,0.9855669024877288,3.428044012830494e-05,0.9999207964486555,0.9999856837887015,0.9999701921791139,0.999983314767588,0.9999495708596545,0.9999849325282488,0.9999917055634577,0.9999903642733101,0.9999967483970459,1.6434042256229042e-05,0.992947322515754,0.9994672560054992,0.9999921837988853,0.9999921970479387,0.9999772297947643,0.9880569604821043,0.9994375160722608,0.9999877311318912,0.9999863694106287,0.9998967283320537,0.9999303858000782,0.9998926658212146,0.9999972377447286,0.9999837408164288,0.9833368268836828,0.9941528421296195,0.19622759687643437,1.2008473821255612e-05,0.9976858791467585,0.9874212584952561,5.804522595219369e-05,1.3704586063487368e-05,0.9999840964721983,0.9999864768054976,0.999991486921989
fruit,rgb,0.08101659928696475,0.19634462931623248,0.18196314765386057,2.9985133234792703e-15,1.0,0.9999920294890584,2.3333086274286947e-13,1.0,0.9862658241139466,0.19402787572779148,0.2060772713300086,0.09059208820670189,0.07124707793842397,0.1278425354952084,0.15278790152521884,1.0,0.9999936578133788,1.4384591934607225e-14,0.00025154348472711604,0.0001870990124315465,0.9582683328049867,0.9997485527863385,0.9997663194916837,0.0003342062509169418,0.99995391754603,0.9998613906883839,0.953922670491379,4.450323798916794e-15,0.12126239675931638,0.16859102983478605,0.000134761261839645,0.00015525908609420014,0.00024765253696500356,0.16611229070113454,0.07858563780835558,0.0003375424607629604,0.00027621277649291973,0.00039512101301370303,0.0005910369662725252,0.0005986709539796074,0.9989250150173488,0.0003295829393028781,0.20633772592959343,0.11359501832596795,0.20673140777286816,1.0,0.9999929932082258,0.9999930549099426,1.0,3.1938131797803385e-15,0.00028430908406878953,0.00020794670494715702,0.00024204526081783665
fruit,shape,2.235500775051535e-05,0.08186484035482137,0.0003322480014640851,0.9937954209481945,0.7414173451090773,0.7348620341849804,0.44143088911926714,0.9707711484209787,0.9961895359038512,1.3618931794665753e-05,0.23022135149858083,1.6506599509329796e-07,4.6906355403903786e-07,2.048988021108691e-05,1.3000719936728866e-06,0.46355652396547103,0.36447224770249687,0.5824442448768556,0.09346831809334137,1.2939237993167599e-05,0.9727175534843016,0.999734370537907,0.9996969027847764,0.00023879126462772343,0.9998163317620228,0.9996965082756504,0.0008616509126160674,0.7337642651475956,0.0055210985894491365,0.00038522188229678516,0.0002156234920998822,5.179328396753824e-05,2.1549606017089318e-05,0.043696238735750265,4.6906355403903786e-07,2.3974513976988684e-05,0.00013465110674747922,0.3034148674731743,0.0004909003476816436,0.0004478159525284582,0.9537276839497292,0.0003188575088895981,0.039418279447683606,0.09572316350673052,0.5022975997479979,0.7327320600437429,0.5534065997184114,0.05256662136864222,0.519743383245116,0.9756933369494067,8.061052053724666e-06,4.78063964269121e-05,0.006901848838453997
fruit,object,9.575763202500142e-05,0.06279282253753292,0.001042976220094239,2.9804190174089253e-05,0.9999999725075815,0.9952829904357101,4.568931852127778e-06,0.999999978587184,0.9965321662960142,0.00012064413445564408,0.14059877588856223,4.013226220577355e-06,7.078463804521988e-06,0.0001338164182140983,1.7789127380435266e-05,0.999999916493728,0.9860109414340845,2.14255541282147e-06,0.010718305868919642,1.2079793307493204e-05,0.9852736283555474,0.9997975677547513,0.9998007457967603,0.00015678609557776612,0.9999081883058639,0.9998140851827635,0.02001835092303467,2.1668715162182422e-06,0.007336440747757069,0.0011330924578061114,0.00010310526457051207,3.149346629556446e-05,2.07730708752715e-05,0.04007988874314788,7.515670949228613e-06,2.4145331503598156e-05,9.436987806858216e-05,0.03574147941428219,0.00033361490601952094,0.0003151985929878227,0.9924066556583991,0.00020843794208688307,0.04754972906799308,0.05073718359078625,0.32747337152112194,0.9999999591561036,0.9921282455641458,0.9352193770559588,0.9999997568090512,1.320481567913631e-05,8.98493100743451e-06,3.6784326988029656e-05,0.0013909389840549655
green,rgb,0.0001093847056046771,0.00026414062232507624,0.00021787414559585073,7.074271253474281e-12,6.359973822598084e-13,0.999999999963622,1.55154007928465e-10,1.0544627507597623e-12,0.9990570659785162,0.00025717779407450936,0.0002947698169160898,0.0001431563960209949,8.161785405950298e-05,0.00014069508520912207,0.00014264635215578616,9.821711506567908e-13,0.9999999999324176,4.8057392992355114e-11,0.999951566902951,0.999992131394252,0.9999999803075196,0.9924322826938542,0.9940783765672924,0.9997273275996845,0.9999015402874804,0.9984746110490196,0.9999895400050153,4.5693207153693954e-11,0.00018720558071085684,0.00018018621228819937,0.9999606565331114,0.999984130613762,0.9999060480382367,0.00026512643474146355,0.00015858372173775754,0.9997104322119656,0.9999916454709087,0.9999938264810226,0.999024125288217,0.9999753078714897,0.9999999997560829,0.999988190636058,0.0001929065957948945,0.00024528695821255005,0.0003037413584981965,6.638232163288864e-13,0.9999999999582538,0.9999999999586013,1.0756772503011698e-12,2.167733291868532e-11,0.9997883961610047,0.9999983130360987,0.9999815427527773
green,shape,0.015706091160192084,0.7481835604506495,6.92678555130134e-05,0.9999555319553944,0.9999998679147736,0.9999997165021748,0.9999992089313942,0.9999999757062742,0.9998397051968537,0.00017147853378291208,0.9815596376715942,0.026071937915534613,0.07514007452431444,0.0013951558449497024,0.0004295606038429012,0.9999999948825091,0.9999999374144063,0.9999999889039127,0.9999425170243241,0.9998735929910739,0.999740389969157,0.9999995954607823,0.997689257645808,0.9998909728608277,0.9999999996407472,0.8615211832748196,0.999831133490075,0.9999997728392372,0.7907580920788402,8.212041643429489e-05,0.9999455829696297,0.9996938258709867,0.9999990431473648,0.8238443311246245,0.07514007452431494,0.9997079281667881,0.9999999084553685,0.9999030760573719,0.9999339345573028,0.9998505807949724,0.9999999994368878,0.9994474135389662,0.0001843782672210914,0.09225068725871072,0.9999780510187242,0.9999999055914444,0.9999997862867883,0.9999999559763378,0.9999999906368041,0.9999999692741893,0.9988032703901851,0.9999987963415302,0.9997696860104801
green,object,0.0015656125615235842,0.0089717199131572,4.494511171578541e-05,0.00012204110110197291,0.00010972718445136057,0.9999999906811209,0.0032890443991318527,0.00021679737575445036,0.9999012576804803,8.14014369661371e-05,0.04008071721485155,0.0007272680536536075,0.0013973582624919765,0.00010939051025408907,0.00019321688952668217,0.0003791311026968575,0.9999999969458753,0.01159343314183454,0.9999798749014062,0.9999404139190413,0.9999538744756461,0.9999802149955713,0.9858633743839097,0.9999199898551969,0.9999999313912722,0.9093722844573261,0.9999055877476256,0.006643738202479353,0.0079370008021262,4.1123416951044463e-05,0.9999674310445773,0.999929488732932,0.9999848532521748,0.0072690946219347696,0.001980225381643707,0.9997701935727336,0.9999990964815878,0.9999372218872767,0.9999302769381223,0.9999545705275158,0.9999999999355706,0.9997531805290569,8.193691975771542e-05,0.00226406786100744,0.7196031406572175,0.00018587337908075152,0.999999993189679,0.9999999982121479,0.0004002978959558613,0.003864582380569092,0.9993428711240823,0.9999972015166976,0.9999154953649778
like,rgb,0.9945383269575383,0.9745777720845805,0.9785958878367486,1.0,0.9999974635297961,0.987553433744244,1.0,0.995768642009512,0.07829830803500076,0.9752235944415635,0.9717621551373621,0.9929930610985886,0.9958875789068893,0.9888019421806229,0.985538048666984,0.9999848849844767,0.9771113846724677,1.0,0.9999833494848112,0.9999923659027662,0.9468945203196929,0.0036150792101278485,0.0036713391536729568,0.9999680564754823,0.005936493547498687,0.003944505956247577,0.4691086749303701,1.0,0.9885205147994142,0.9819850550859044,0.9999929409177957,0.9999929398756116,0.9999816327439112,0.9799842011769323,0.9940115465886447,0.9999673754712313,0.999987235912487,0.9999814427798509,0.9999220227486633,0.9999562718175817,0.981997364760853,0.9999826113157496,0.9752879999661027,0.988512658780038,0.9713652295516363,0.9999812343088855,0.9855928383290358,0.9856919520684356,0.9961950176183233,1.0,0.9999750439333895,0.9999942634928092,0.9999870091538573
