Token,Type,2-corn/corn_2,2-corn/corn_1,2-corn/corn_4,0-cube/cube_2,0-cube/cube_3,4-cube/cube_4,4-cube/cube_2,4-cube/cube_3,0-cube/cube_4,3-banana/banana_4,3-corn/corn_4,3-corn/corn_2,3-corn/corn_1,1-corn/corn_1,0-corn/corn_1,0-corn/corn_2,2-cube/cube_3,0-corn/corn_4,3-cube/cube_4,3-cube/cube_3,3-cube/cube_2,2-cucumber/cucumber_2,2-cucumber/cucumber_3,0-banana/banana_4,0-banana/banana_2,0-banana/banana_3,2-cucumber/cucumber_4,1-banana/banana_3,1-banana/banana_2,1-banana/banana_4,5-corn/corn_2,1-corn/corn_4,0-cucumber/cucumber_2,0-cucumber/cucumber_3,0-cucumber/cucumber_4,1-corn/corn_2,3-cucumber/cucumber_4,3-cucumber/cucumber_3,3-cucumber/cucumber_2,4-cucumber/cucumber_4,5-cucumber/cucumber_3,2-banana/banana_4,4-cucumber/cucumber_3,4-corn/corn_4,4-corn/corn_2,2-cube/cube_4,1-cube/cube_2,2-cube/cube_2,1-cube/cube_4,1-cube/cube_3,1-cucumber/cucumber_4,1-cucumber/cucumber_3,1-cucumber/cucumber_2
cube,rgb,1.9096478556931591e-07,1.7394784332686446e-07,1.5914680596847304e-07,0.9996826028875203,0.9999999997829427,0.9999989804245383,0.9619511460756859,0.9999943571702902,0.9960061437821054,3.42055929372052e-05,1.6019467367456906e-07,1.911912135876037e-07,1.7960842077949387e-07,1.9091212487570584e-07,1.8702664798255643e-07,1.9177348283562236e-07,0.9999999979394432,1.5771730464853117e-07,0.9999942930316894,0.9999999802479722,0.9923659848570513,0.0015209796133292403,0.004957146548231719,0.08748487886859359,1.4763336330877112e-05,1.7352889869607457e-05,0.0005286421779692026,0.00038439417627080994,4.495505587719132e-05,0.0006436194807756156,1.7972824049699441e-07,1.5827791923821847e-07,0.002169778911966912,0.0034824644459975638,0.0010542653482361558,2.0480268514505898e-07,0.0005101642005804836,0.004160311538906007,0.004438874265818591,0.00022111905070566312,0.001660705656463295,0.9311012478707318,0.0031678432785245433,1.4861917913953804e-07,1.9291274177655408e-07,0.9999907901875403,0.9988877421726764,0.9985972353684797,0.9965414219908425,0.9999999993908206,0.0006431734420915313,0.012566511705631863,0.002703348308901966
cube,shape,2.140854024682958e-06,0.024229930180309323,5.690357380723298e-06,0.9999399318605283,0.9999023311758369,0.9999888014638516,0.999711158709862,0.9999779384336206,0.999998223638433,0.9953986351324374,1.4346889233574258e-05,3.0190174874544114e-06,0.9999314462805802,0.012528769695003494,3.862112057016678e-05,1.5702762291574015e-06,0.9999905437480554,1.6361264275466936e-06,0.9999894212652966,0.9999837055559998,0.9999772761020757,0.08005344568282395,6.753191235298486e-06,0.07995574291106784,5.90051700892671e-06,4.950208378266642e-05,2.2079630770318152e-05,2.8945160963635604e-05,2.201548994240426e-05,2.047043095729624e-06,0.001722475212419818,8.936265368671457e-06,0.0010926009528216803,4.3884211223130434e-06,2.1049527874662e-05,1.570276229157407e-06,7.489224756967842e-05,0.00012350140619942743,0.9970693280864626,0.008196581654693452,0.00022049277829815347,0.0008320433788730348,3.8447917111485665e-05,0.013388015448284307,0.0007551843910612392,0.9999976544893338,0.9999929059919301,0.9999777336432812,0.9999919291036228,0.9999958423074163,6.9162177164105936e-06,1.4059298126344709e-05,2.378267977963537e-05
cube,object,1.6604222035093817e-06,0.013342748138207669,4.323948342453664e-06,0.9999324138546744,0.999893618522189,0.9999897267474368,0.9997178186075878,0.9999784608132044,0.9999976514199216,0.9707601181797484,1.0667610090885898e-05,2.2410831772692306e-06,0.9997682565127218,0.007581500986299265,3.231098049563896e-05,1.2016948309787635e-06,0.9999920575207623,1.357029040313118e-06,0.9999908991085061,0.9999869198551419,0.9999709419164273,0.06464664527649891,7.593944233335422e-06,0.04306912804688498,3.3422287612993973e-06,3.7752691970196665e-05,2.2594673003685598e-05,2.0977764004347352e-05,1.5230528206990704e-05,2.268765652932183e-06,0.0009761717770475377,6.147137588746417e-06,0.0007878828217679292,4.6882902418151525e-06,1.7183936259047522e-05,1.2046551547761094e-06,6.134340591209393e-05,0.00011882196517399518,0.9927997754128236,0.006406682191773766,0.00021019074759903223,0.0006303389187351018,4.2929822980309845e-05,0.006622278372295619,0.0005014979204895021,0.9999973966053273,0.9999908288317675,0.9999721699094741,0.999991052874174,0.999996887349521,7.07149701220166e-06,1.4110966885346383e-05,2.638546967825257e-05
cucumb,rgb,0.9915497297677524,0.9030729558114371,0.9788465651042733,0.9999999992455206,0.9999999999999996,6.689774769846672e-20,0.9999999920613826,0.9999999999999654,7.025005876307525e-18,0.05744871332695373,0.9769633288632631,0.9903339683830588,0.8952380095531911,0.9076417274625664,0.9132242180989317,0.9927428114779825,0.9999999999999993,0.9831230406411414,1.6188841731587354e-19,0.9999999999999978,0.9999999892366608,0.9998700615320796,0.9998877858244059,0.07449137113937768,0.0015437822240788907,0.001413470463736367,0.9998501763688304,0.00022104447979966386,0.000776230217781028,0.12480320378228883,0.986612222730847,0.9808543640909342,0.999927134737261,0.9999108125773009,0.9998781116099708,0.991589674794304,0.9998494244969577,0.9998381520633693,0.9997672565086705,0.9997654147019227,0.9996881973700359,0.0016804161320024677,0.9998133858553025,0.9757523506043843,0.9872689621306706,2.111636618309727e-19,0.9999999988566104,0.999999998289683,6.414529401979407e-18,0.9999999999999996,0.9998691119025962,0.9998608311465877,0.9998654345161454
cucumb,shape,0.9999992235480617,0.9603887934380027,0.9999988689949484,0.003312087561570119,0.009999592298756717,8.680493302670043e-05,0.019701734712312173,0.0005329041583037022,6.851085921719534e-05,0.018395684868116453,0.9999998516590871,0.9999999374850078,0.001461988600493493,0.9991039625330969,0.9999968877965404,0.9999996839277714,0.0005201174018975387,0.9999999002941231,0.00014883012682744934,0.0003417393560753867,0.003579225472792703,0.9997469658552165,0.9999735961279016,0.20010369125816216,0.009668685620335913,0.00032690190532827447,0.9998520343308244,0.0002906114580697941,0.8595813453047169,0.9999224889467735,0.9998171231498904,0.9999990953590584,0.9999995936717748,0.9999821918892898,0.9999886175742144,0.9999996839277714,0.9999997057607604,0.9999687290951035,0.9997956457584701,0.9996100689998222,0.9997672085209871,0.12763351343653775,0.9998700681851428,0.9756117600856068,0.9462095519074726,7.952352779540049e-05,0.0004214905798514615,0.0025490143236020246,0.00013520372873682745,9.070705166164466e-05,0.9999972505834727,0.9999043206881604,0.9997271742491568
cucumb,object,0.9999346236241671,0.9977812094530896,0.9998733663543723,0.9999976454309898,0.999999977428876,7.090486377672794e-06,0.9999974049559611,0.9999999594291348,1.645765815507125e-05,0.9694292971619689,0.9999818184308907,0.9999924176302762,0.9984853554296818,0.9995970234120936,0.9999291043892388,0.9999778134861196,0.9999999930219985,0.9999766141108833,1.241541972328574e-05,0.9999999872585682,0.9999989494831649,0.9999259170242645,0.9999798809592486,0.545249921640266,0.0025197463343692504,0.00022063932894833625,0.9998913081165404,0.00020543711685382346,0.025390506182525262,0.9893978927332959,0.9998149420477237,0.9999059562404243,0.999998044504199,0.9999699473322954,0.9999921567889783,0.9999766458975383,0.9999981008708303,0.9999860895527788,0.9999756285054828,0.9998243919261701,0.9999256350402107,0.1472200468564921,0.9999211823060441,0.9967459508146665,0.9883429994329361,1.2783743112237046e-05,0.9999985894369647,0.9999995549643641,4.348174772648284e-05,0.999999977595729,0.9999911449946445,0.9999706189121154,0.9997932890177004
ear,rgb,0.9999783216257341,0.9991175127343855,0.9999429296067749,1.0622559634062908e-06,0.9999999999999998,0.9999993116496952,2.8933646812359585e-05,0.9999999999999871,0.9999997444188957,0.0005312217846050638,0.9999309155210551,0.9999705004998881,0.998901998867568,0.9988357446038408,0.9990033387189731,0.999984523679329,0.9999999999999987,0.999965042127944,0.99999920364315,0.9999999999999982,2.093632149043855e-06,0.0010371861984230478,0.00017869463431735856,1.2944736168406331e-08,0.001353240393699459,0.0010307556091686716,0.0054956010966785455,9.858532740351814e-06,0.0002217680893001143,7.9024625484533e-06,0.9999574293826571,0.9999541701610933,0.0010075596438322574,0.0003847089849817558,0.002039962615985326,0.9999687307879493,0.005822724543036145,0.00016949859612090933,0.00011227874508619504,0.016795552336232797,0.0004064452647819697,4.93588911366326e-11,0.00022878227303815425,0.999947193307968,0.9999452298662412,0.9999995035589972,3.0599659846014563e-06,2.410343233274153e-06,0.9999997316612058,0.9999999999999996,0.004458003035408241,3.6247823848135965e-05,0.0003939955262482101
ear,shape,0.999528896444022,0.9999121912623415,0.9999641605592009,0.08484761003392816,0.925766369461966,0.9539271626327893,0.836170216691231,0.9443138133003965,0.35852708241844383,0.9999858083148282,0.999882689525112,0.9999002274133948,0.9996685874395129,0.9999577939871139,0.99951374245657,0.9991635941380641,0.9345348891136642,0.9997572835916071,0.8506225334368442,0.9208992390450836,0.9014650945539517,0.4803386675379332,0.000570564991524957,0.9764619129505314,3.448514374717925e-07,0.00019502531327609773,0.03182565913439036,1.5575266109066858e-08,0.027536781014064416,3.5725865076361423e-05,0.9998135518679975,0.9999849253418122,0.3632983029756163,0.00044577689852285665,0.003496494620553292,0.9991635941380641,0.8096263956812682,0.0002389756381409515,0.9194994974279386,0.6372478965138165,0.00018478027234927654,1.228275556611355e-06,0.0005375022216789877,0.999964178375465,0.9997804069510184,0.974819718898147,0.4665951271790994,0.8719614202929344,0.941596173729497,0.23625752186825694,0.9766377125539255,0.0001448085364244678,0.3880030514575176
ear,object,0.9998331476393758,0.9998996440034987,0.9999462906538548,4.962532008446994e-05,0.9999999269739397,0.9999999773176248,0.003626407135218112,0.9999997406084626,0.9999997735961434,0.9722070914741187,0.99995645988173,0.9999432318570419,0.9998049306186549,0.9999373505817322,0.9996748704987193,0.9997107699855339,0.9999998941532092,0.9998680538097885,0.9999999464584506,0.9999998629069043,0.0014003899937209937,0.01232121065674045,0.00025256512760640434,0.0004789222174118523,0.000114332964326772,0.0001249670968251109,0.003164950482308992,3.4668105422044737e-06,0.0021578751091564747,3.255376694678606e-05,0.9999530492611141,0.9999724807526048,0.013350205531389697,0.00020772834284382225,0.001619900841536054,0.9995931809171663,0.10014884713304013,0.00012897636034544147,0.025584433496851782,0.04766535374859115,0.00013668411094290523,8.28325667361274e-08,0.0002599107177210813,0.9999556490804008,0.9998126354701417,0.9999999838938665,0.0003210935166237949,0.001106122525902697,0.9999999593936776,0.9999994114691482,0.18233619603626391,5.4297305848293156e-05,0.0022000349666709516
green,rgb,0.0015717515977737829,0.0011323521291840258,0.000773897312141846,1.0,0.9999999996059992,6.740927849683743e-59,1.0,0.9999999966503699,3.7006565519646883e-54,0.9493395791942505,0.0008430473886064853,0.0018283916841577207,0.0012849469307735248,0.0019507470417767258,0.0018126230990153736,0.0013470506279044873,0.9999999999573697,0.0006303166283747117,9.196425291491936e-58,0.9999999997566971,1.0,0.9999999999998581,0.9999999999999922,0.9999999937180468,0.000719235930711814,0.0008661326580146681,0.9999999999977174,0.008416514372888253,0.0019216525206321832,0.9999843291229225,0.0014762610628106028,0.0007040258828063384,0.9999999999999645,0.999999999999986,0.9999999999996705,0.0027743885756923254,0.9999999999974851,0.9999999999999831,0.9999999999999785,0.9999999999660734,0.9999999999997238,0.9999999742375207,0.9999999999999638,0.000495426222003855,0.002438947859439554,8.999646800940518e-58,1.0,1.0,3.13774459307143e-54,0.9999999999209279,0.9999999999987743,0.9999999999999987,0.9999999999999625
